district,school,num_applications
Residential District 01,02M047,28
Residential District 01,06M540,20
Residential District 01,13K499,3
Residential District 01,21K410,3
Residential District 01,30Q301,6
Residential District 01,18K637,2
Residential District 01,17K751,3
Residential District 01,09X365,3
Residential District 01,11X270,2
Residential District 01,02M546,106
Residential District 01,19K404,3
Residential District 01,30Q575,6
Residential District 01,24Q264,3
Residential District 01,19K618,3
Residential District 01,27Q309,3
Residential District 01,32K554,2
Residential District 01,08X367,3
Residential District 01,02M630,43
Residential District 01,11X299,3
Residential District 01,27Q400,2
Residential District 01,14K610,3
Residential District 01,24Q610,5
Residential District 01,30Q580,5
Residential District 01,01M696,139
Residential District 01,24Q299,21
Residential District 01,02M411,162
Residential District 01,03M479,113
Residential District 01,13K595,3
Residential District 01,10X434,3
Residential District 01,13K670,7
Residential District 01,11X290,3
Residential District 01,11X545,3
Residential District 01,12X479,2
Residential District 01,09X260,3
Residential District 01,09X227,2
Residential District 01,09X324,2
Residential District 01,11X249,3
Residential District 01,10X439,2
Residential District 01,11X265,2
Residential District 01,12X267,2
Residential District 01,09X505,2
Residential District 01,11X508,3
Residential District 01,17K547,3
Residential District 01,15K448,2
Residential District 01,22K555,2
Residential District 01,13K412,3
Residential District 01,15K423,3
Residential District 01,18K566,2
Residential District 01,16K498,3
Residential District 01,15K656,6
Residential District 01,17K745,3
Residential District 01,13K439,3
Residential District 01,14K449,152
Residential District 01,14K488,7
Residential District 01,17K548,3
Residential District 01,13K430,201
Residential District 01,18K567,2
Residential District 01,32K556,2
Residential District 01,02M393,33
Residential District 01,07X548,3
Residential District 01,04M555,79
Residential District 01,02M615,54
Residential District 01,06M293,13
Residential District 01,13K674,14
Residential District 01,15K519,3
Residential District 01,11X288,3
Residential District 01,05M362,39
Residential District 01,06M346,3
Residential District 01,09X327,2
Residential District 01,19K659,2
Residential District 01,15K429,3
Residential District 01,10X549,2
Residential District 01,13K265,2
Residential District 01,09X329,2
Residential District 01,32K545,2
Residential District 01,09X231,2
Residential District 01,23K644,3
Residential District 01,29Q327,2
Residential District 01,05M148,1
Residential District 01,12X271,2
Residential District 01,01M450,292
Residential District 01,21K525,2
Residential District 01,14K685,2
Residential District 01,02M416,95
Residential District 01,30Q258,3
Residential District 01,04M372,2
Residential District 01,02M294,211
Residential District 01,09X250,3
Residential District 01,19K502,2
Residential District 01,02M303,11
Residential District 01,12X682,2
Residential District 01,25Q460,3
Residential District 01,02M288,37
Residential District 01,10X437,2
Residential District 01,10X438,2
Residential District 01,28Q440,3
Residential District 01,20K490,3
Residential District 01,26Q430,3
Residential District 01,03M417,25
Residential District 01,30Q501,20
Residential District 01,05M499,13
Residential District 01,03M860,2
Residential District 01,09X517,3
Residential District 01,23K514,2
Residential District 01,13K605,3
Residential District 01,08X452,1
Residential District 01,13K594,2
Residential District 01,02M374,33
Residential District 01,06M552,4
Residential District 01,24Q485,3
Residential District 01,07X259,2
Residential District 01,11X455,2
Residential District 01,02M534,146
Residential District 01,08X405,2
Residential District 01,04M680,10
Residential District 01,28Q328,1
Residential District 01,27Q650,3
Residential District 01,02M545,74
Residential District 01,10X565,2
Residential District 01,02M400,32
Residential District 01,06M468,7
Residential District 01,02M420,137
Residential District 01,03M492,16
Residential District 01,06M467,3
Residential District 01,05M692,180
Residential District 01,06M463,3
Residential District 01,18K633,3
Residential District 01,10X696,146
Residential District 01,03M494,29
Residential District 01,11X275,3
Residential District 01,02M489,67
Residential District 01,02M296,12
Residential District 01,21K348,3
Residential District 01,20K485,3
Residential District 01,07X500,3
Residential District 01,02M437,45
Residential District 01,02M605,19
Residential District 01,10X368,2
Residential District 01,02M544,3
Residential District 01,02M407,59
Residential District 01,24Q530,3
Residential District 01,02M438,16
Residential District 01,06M211,2
Residential District 01,18K563,3
Residential District 01,02M529,3
Residential District 01,22K425,3
Residential District 01,25Q425,3
Residential District 01,15K462,4
Residential District 01,14K071,2
Residential District 01,21K468,2
Residential District 01,10X374,7
Residential District 01,02M419,36
Residential District 01,02M425,9
Residential District 01,22K535,3
Residential District 01,21K559,2
Residential District 01,02M655,3
Residential District 01,30Q450,3
Residential District 01,02M308,136
Residential District 01,14K586,3
Residential District 01,03M541,81
Residential District 01,02M427,9
Residential District 01,02M542,11
Residential District 01,02M392,74
Residential District 01,04M435,51
Residential District 01,02M280,99
Residential District 01,02M459,3
Residential District 01,02M439,140
Residential District 01,10X477,2
Residential District 01,01M509,58
Residential District 01,24Q585,3
Residential District 01,17K590,3
Residential District 01,28Q167,2
Residential District 01,12X248,3
Residential District 01,24Q520,3
Residential District 01,22K405,12
Residential District 01,08X312,3
Residential District 01,15K684,12
Residential District 01,02M418,223
Residential District 01,09X297,2
Residential District 01,09X252,2
Residential District 01,05M304,2
Residential District 01,12X242,2
Residential District 01,02M432,11
Residential District 01,02M520,20
Residential District 01,02M412,119
Residential District 01,02M414,109
Residential District 01,02M376,129
Residential District 01,16K765,2
Residential District 01,02M543,124
Residential District 01,31R440,3
Residential District 01,01M539,233
Residential District 01,20K445,3
Residential District 01,11X513,2
Residential District 01,01M292,138
Residential District 01,14K474,3
Residential District 01,02M298,190
Residential District 01,12X388,2
Residential District 01,04M495,34
Residential District 01,17K122,3
Residential District 01,08X320,2
Residential District 01,11X542,2
Residential District 01,19K507,3
Residential District 01,02M408,13
Residential District 01,27Q302,3
Residential District 01,28Q687,127
Residential District 01,25Q252,2
Residential District 01,24Q600,4
Residential District 01,02M422,24
Residential District 01,08X293,3
Residential District 01,02M531,8
Residential District 01,02M580,8
Residential District 01,24Q560,3
Residential District 01,27Q323,3
Residential District 01,19K683,3
Residential District 01,02M413,82
Residential District 01,08X348,1
Residential District 01,13K419,3
Residential District 01,17K543,2
Residential District 01,07X221,3
Residential District 01,03M859,3
Residential District 01,31R605,122
Residential District 01,02M139,24
Residential District 01,02M475,201
Residential District 01,15K667,3
Residential District 01,31R460,3
Residential District 01,02M519,17
Residential District 01,32K552,2
Residential District 01,15K497,2
Residential District 01,10X445,165
Residential District 01,32K168,3
Residential District 01,32K549,3
Residential District 01,12X478,3
Residential District 01,02M260,106
Residential District 01,06M462,2
Residential District 01,03M403,7
Residential District 01,02M399,35
Residential District 01,17K528,3
Residential District 01,02M600,35
Residential District 01,07X223,2
Residential District 01,10X237,2
Residential District 01,03M299,3
Residential District 01,07X551,2
Residential District 01,19K764,2
Residential District 01,02M135,14
Residential District 01,05M157,2
Residential District 01,03M402,3
Residential District 01,13K483,3
Residential District 01,10X225,2
Residential District 01,28Q620,3
Residential District 01,05M670,3
Residential District 01,31R455,2
Residential District 01,25Q525,10
Residential District 01,19K615,3
Residential District 01,02M533,42
Residential District 01,02M500,9
Residential District 01,07X495,2
Residential District 01,01M448,128
Residential District 01,18K642,3
Residential District 01,02M305,51
Residential District 01,02M507,43
Residential District 01,13K527,2
Residential District 01,02M282,41
Residential District 01,02M551,43
Residential District 01,09X241,2
Residential District 01,20K609,2
Residential District 01,03M307,8
Residential District 01,13K350,3
Residential District 01,05M369,6
Residential District 01,02M316,9
Residential District 01,02M300,7
Residential District 01,09X263,2
Residential District 01,02M449,17
Residential District 01,25Q240,2
Residential District 01,18K576,2
Residential District 01,03M415,3
Residential District 01,06M348,2
Residential District 01,10X243,2
Residential District 01,03M291,3
Residential District 01,30Q445,3
Residential District 01,21K620,2
Residential District 01,14K558,9
Residential District 01,14K561,9
Residential District 01,08X282,2
Residential District 01,19K510,2
Residential District 01,10X353,3
Residential District 01,04M610,9
Residential District 01,14K614,3
Residential District 01,09X568,2
Residential District 02,02M047,13
Residential District 02,06M540,26
Residential District 02,13K499,2
Residential District 02,21K410,3
Residential District 02,30Q301,63
Residential District 02,17K382,2
Residential District 02,18K637,2
Residential District 02,32K403,3
Residential District 02,17K751,3
Residential District 02,09X365,3
Residential District 02,11X270,2
Residential District 02,02M546,296
Residential District 02,19K404,3
Residential District 02,30Q575,14
Residential District 02,24Q264,6
Residential District 02,27Q309,3
Residential District 02,32K554,2
Residential District 02,08X367,3
Residential District 02,02M630,185
Residential District 02,11X299,3
Residential District 02,27Q400,2
Residential District 02,14K610,3
Residential District 02,24Q610,35
Residential District 02,30Q580,90
Residential District 02,01M696,565
Residential District 02,24Q299,282
Residential District 02,02M411,1705
Residential District 02,26Q495,2
Residential District 02,03M479,1135
Residential District 02,13K595,3
Residential District 02,10X434,3
Residential District 02,13K670,15
Residential District 02,16K455,3
Residential District 02,10X264,3
Residential District 02,11X290,3
Residential District 02,11X545,3
Residential District 02,08X432,2
Residential District 02,12X479,1
Residential District 02,09X260,9
Residential District 02,10X351,2
Residential District 02,09X227,2
Residential District 02,08X561,1
Residential District 02,07X522,2
Residential District 02,09X324,2
Residential District 02,10X213,2
Residential District 02,11X249,2
Residential District 02,10X439,2
Residential District 02,09X413,3
Residential District 02,11X253,2
Residential District 02,11X418,2
Residential District 02,09X412,3
Residential District 02,09X403,2
Residential District 02,11X265,2
Residential District 02,12X267,2
Residential District 02,09X525,2
Residential District 02,07X527,3
Residential District 02,08X349,2
Residential District 02,09X505,2
Residential District 02,10X284,2
Residential District 02,10X546,2
Residential District 02,11X508,2
Residential District 02,17K547,3
Residential District 02,15K448,2
Residential District 02,22K555,2
Residential District 02,23K493,3
Residential District 02,13K412,3
Residential District 02,16K498,3
Residential District 02,15K656,11
Residential District 02,17K745,3
Residential District 02,13K439,13
Residential District 02,19K639,2
Residential District 02,14K449,967
Residential District 02,14K488,6
Residential District 02,17K548,3
Residential District 02,13K430,1401
Residential District 02,18K567,2
Residential District 02,32K556,2
Residential District 02,02M393,91
Residential District 02,26Q315,2
Residential District 02,31R047,2
Residential District 02,07X548,3
Residential District 02,10X442,2
Residential District 02,04M555,249
Residential District 02,27Q262,3
Residential District 02,02M615,145
Residential District 02,06M293,25
Residential District 02,13K674,20
Residential District 02,24Q293,3
Residential District 02,17K600,3
Residential District 02,15K519,7
Residential District 02,11X288,3
Residential District 02,05M362,329
Residential District 02,06M346,3
Residential District 02,07X427,2
Residential District 02,09X327,2
Residential District 02,18K629,2
Residential District 02,31R450,3
Residential District 02,10X440,10
Residential District 02,15K429,3
Residential District 02,10X549,2
Residential District 02,13K265,2
Residential District 02,09X329,2
Residential District 02,32K545,2
Residential District 02,09X231,2
Residential District 02,23K644,3
Residential District 02,05M148,1
Residential District 02,12X271,2
Residential District 02,19K409,2
Residential District 02,01M450,339
Residential District 02,14K477,2
Residential District 02,25Q281,2
Residential District 02,21K525,6
Residential District 02,02M416,1457
Residential District 02,30Q258,11
Residential District 02,27Q334,3
Residential District 02,27Q314,2
Residential District 02,04M372,2
Residential District 02,02M294,260
Residential District 02,09X250,3
Residential District 02,21K572,3
Residential District 02,12X251,2
Residential District 02,02M303,46
Residential District 02,12X682,2
Residential District 02,25Q460,3
Residential District 02,25Q263,2
Residential District 02,02M288,113
Residential District 02,10X437,2
Residential District 02,10X438,2
Residential District 02,28Q440,10
Residential District 02,20K490,3
Residential District 02,26Q430,3
Residential District 02,03M417,379
Residential District 02,30Q501,181
Residential District 02,05M499,27
Residential District 02,03M860,2
Residential District 02,29Q272,3
Residential District 02,13K605,12
Residential District 02,13K594,2
Residential District 02,02M374,29
Residential District 02,24Q485,3
Residential District 02,11X455,6
Residential District 02,02M534,420
Residential District 02,07X670,2
Residential District 02,08X405,2
Residential District 02,04M680,14
Residential District 02,24Q550,3
Residential District 02,19K504,3
Residential District 02,27Q650,3
Residential District 02,11X544,3
Residential District 02,02M545,329
Residential District 02,10X565,2
Residential District 02,02M400,313
Residential District 02,06M468,21
Residential District 02,02M420,253
Residential District 02,03M492,33
Residential District 02,06M467,3
Residential District 02,05M692,1249
Residential District 02,06M463,8
Residential District 02,18K633,3
Residential District 02,10X433,2
Residential District 02,17K537,2
Residential District 02,10X696,1053
Residential District 02,24Q267,6
Residential District 02,03M494,84
Residential District 02,11X275,3
Residential District 02,02M489,246
Residential District 02,02M296,28
Residential District 02,11X509,2
Residential District 02,20K485,3
Residential District 02,12X550,1
Residential District 02,28Q505,3
Residential District 02,28Q325,2
Residential District 02,07X500,2
Residential District 02,02M437,79
Residential District 02,02M605,40
Residential District 02,10X368,2
Residential District 02,02M544,3
Residential District 02,30Q502,2
Residential District 02,02M407,128
Residential District 02,29Q243,2
Residential District 02,24Q530,3
Residential District 02,02M438,27
Residential District 02,10X342,2
Residential District 02,06M211,10
Residential District 02,18K563,2
Residential District 02,02M529,20
Residential District 02,28Q350,2
Residential District 02,22K425,3
Residential District 02,27Q480,3
Residential District 02,25Q425,3
Residential District 02,21K540,3
Residential District 02,15K462,4
Residential District 02,14K071,2
Residential District 02,15K592,2
Residential District 02,21K468,2
Residential District 02,10X374,6
Residential District 02,18K569,2
Residential District 02,02M419,60
Residential District 02,02M425,34
Residential District 02,22K535,11
Residential District 02,02M655,14
Residential District 02,30Q450,6
Residential District 02,08X530,2
Residential District 02,02M308,117
Residential District 02,14K586,3
Residential District 02,03M541,571
Residential District 02,02M427,19
Residential District 02,02M542,13
Residential District 02,02M392,128
Residential District 02,04M435,328
Residential District 02,02M280,79
Residential District 02,02M459,41
Residential District 02,02M439,409
Residential District 02,10X477,2
Residential District 02,01M509,32
Residential District 02,24Q585,3
Residential District 02,29Q492,2
Residential District 02,17K590,9
Residential District 02,23K647,2
Residential District 02,24Q520,3
Residential District 02,22K405,32
Residential District 02,08X312,3
Residential District 02,15K684,63
Residential District 02,02M418,1519
Residential District 02,09X297,2
Residential District 02,09X252,2
Residential District 02,05M304,6
Residential District 02,12X242,2
Residential District 02,07X473,2
Residential District 02,02M432,57
Residential District 02,02M520,24
Residential District 02,02M412,1590
Residential District 02,02M414,1150
Residential District 02,02M376,664
Residential District 02,16K765,2
Residential District 02,02M543,117
Residential District 02,09X350,2
Residential District 02,01M539,1241
Residential District 02,20K445,6
Residential District 02,11X513,2
Residential District 02,01M292,39
Residential District 02,14K474,3
Residential District 02,02M298,291
Residential District 02,04M495,115
Residential District 02,17K122,3
Residential District 02,08X320,2
Residential District 02,11X542,2
Residential District 02,19K507,3
Residential District 02,02M408,92
Residential District 02,28Q680,3
Residential District 02,25Q241,2
Residential District 02,28Q687,777
Residential District 02,25Q252,2
Residential District 02,24Q600,9
Residential District 02,02M422,181
Residential District 02,31R600,2
Residential District 02,08X293,2
Residential District 02,02M531,25
Residential District 02,02M580,20
Residential District 02,27Q475,2
Residential District 02,10X141,2
Residential District 02,24Q560,9
Residential District 02,27Q308,2
Residential District 02,27Q323,3
Residential District 02,17K531,2
Residential District 02,02M413,705
Residential District 02,13K419,11
Residential District 02,17K543,2
Residential District 02,07X221,3
Residential District 02,03M859,53
Residential District 02,19K422,2
Residential District 02,31R605,725
Residential District 02,02M139,98
Residential District 02,02M475,1288
Residential District 02,15K667,2
Residential District 02,31R460,3
Residential District 02,02M519,88
Residential District 02,32K552,2
Residential District 02,15K497,2
Residential District 02,10X445,1306
Residential District 02,11X514,2
Residential District 02,32K168,3
Residential District 02,32K549,3
Residential District 02,12X478,3
Residential District 02,02M260,1359
Residential District 02,06M462,2
Residential District 02,03M403,31
Residential District 02,02M399,48
Residential District 02,14K478,3
Residential District 02,02M600,89
Residential District 02,07X223,2
Residential District 02,10X237,2
Residential District 02,03M299,10
Residential District 02,31R080,1
Residential District 02,07X551,2
Residential District 02,19K764,2
Residential District 02,02M135,9
Residential District 02,05M157,2
Residential District 02,03M402,20
Residential District 02,13K483,6
Residential District 02,14K454,3
Residential District 02,10X225,2
Residential District 02,28Q620,3
Residential District 02,05M670,3
Residential District 02,31R455,2
Residential District 02,25Q525,108
Residential District 02,19K615,3
Residential District 02,02M533,47
Residential District 02,02M500,30
Residential District 02,07X495,2
Residential District 02,01M448,134
Residential District 02,02M305,32
Residential District 02,02M507,191
Residential District 02,13K527,2
Residential District 02,02M282,52
Residential District 02,02M551,117
Residential District 02,09X241,2
Residential District 02,03M307,17
Residential District 02,13K350,3
Residential District 02,05M369,15
Residential District 02,02M316,12
Residential District 02,02M300,25
Residential District 02,02M449,120
