Residential District,Total Applicants,# Matches to Choice 1-3,# Matches to Choice 1-5,# Matches to Choice 1-10,# Matches to Choice 1-12,# Matches to Any Choice (Incl. SHS & LGA),% Matches to Choice 1-3,% Matches to Choice 1-5,% Matches to Choice 1-10,% Matches to Choice 1-12,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 01,656,138,202,295,314,# Matches to Any Choice (Incl. SHS & LGA),21%,31%,45%,48%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 02,2708,303,479,810,890,# Matches to Any Choice (Incl. SHS & LGA),11%,18%,30%,33%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 03,1214,224,363,604,661,# Matches to Any Choice (Incl. SHS & LGA),18%,30%,50%,54%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 04,873,345,489,697,726,# Matches to Any Choice (Incl. SHS & LGA),40%,56%,80%,83%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 05,1104,704,899,1049,1061,# Matches to Any Choice (Incl. SHS & LGA),64%,81%,95%,96%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 06,1789,1262,1555,1759,1763,# Matches to Any Choice (Incl. SHS & LGA),71%,87%,98%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 07,1437,1011,1259,1396,1408,# Matches to Any Choice (Incl. SHS & LGA),70%,88%,97%,98%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 08,2444,1945,2241,2418,2423,# Matches to Any Choice (Incl. SHS & LGA),80%,92%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 09,3216,2782,3099,3208,3208,# Matches to Any Choice (Incl. SHS & LGA),87%,96%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 10,4398,4150,4358,4389,4389,# Matches to Any Choice (Incl. SHS & LGA),94%,99%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 11,3472,3306,3430,3468,3469,# Matches to Any Choice (Incl. SHS & LGA),95%,99%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 12,1905,1838,1879,1898,1898,# Matches to Any Choice (Incl. SHS & LGA),96%,99%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 13,1072,715,914,1039,1049,# Matches to Any Choice (Incl. SHS & LGA),67%,85%,97%,98%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 14,994,814,923,973,974,# Matches to Any Choice (Incl. SHS & LGA),82%,93%,98%,98%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 15,2376,2081,2301,2369,2369,# Matches to Any Choice (Incl. SHS & LGA),88%,97%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 16,744,663,725,742,742,# Matches to Any Choice (Incl. SHS & LGA),89%,97%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 17,1816,1684,1790,1814,1814,# Matches to Any Choice (Incl. SHS & LGA),93%,99%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 18,1508,1436,1491,1507,1507,# Matches to Any Choice (Incl. SHS & LGA),95%,99%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 19,2445,2382,2436,2443,2444,# Matches to Any Choice (Incl. SHS & LGA),97%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 20,3927,3683,3873,3902,3902,# Matches to Any Choice (Incl. SHS & LGA),94%,99%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 21,2417,2369,2408,2410,2410,# Matches to Any Choice (Incl. SHS & LGA),98%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 22,3304,3260,3289,3298,3298,# Matches to Any Choice (Incl. SHS & LGA),99%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 23,1040,1029,1035,1040,1040,# Matches to Any Choice (Incl. SHS & LGA),99%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 24,5173,4445,4900,5127,5130,# Matches to Any Choice (Incl. SHS & LGA),86%,95%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 25,2787,2586,2733,2762,2762,# Matches to Any Choice (Incl. SHS & LGA),93%,98%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 27,4013,3986,4001,4010,4010,# Matches to Any Choice (Incl. SHS & LGA),99%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 28,2774,2754,2764,2767,2767,# Matches to Any Choice (Incl. SHS & LGA),99%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 29,2974,2964,2972,2974,2974,# Matches to Any Choice (Incl. SHS & LGA),100%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 30,3216,3152,3173,3201,3202,# Matches to Any Choice (Incl. SHS & LGA),98%,99%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 31,4992,4870,4888,4890,4890,# Matches to Any Choice (Incl. SHS & LGA),98%,98%,98%,98%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 32,996,975,986,994,995,# Matches to Any Choice (Incl. SHS & LGA),98%,99%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 26,2079,2023,2052,2059,2060,# Matches to Any Choice (Incl. SHS & LGA),97%,99%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Total,75863,65879,69907,72312,72549,# Matches to Any Choice (Incl. SHS & LGA),87%,92%,95%,96%,% Matches to Any Choice (Incl. SHS & LGA)
