Student_Id,School
student_10050,02M439
student_10036,01M696
student_69926,None
student_1757,04M555
student_1679,05M692
student_6494,01M539
student_48633,None
student_14625,02M534
student_38343,None
student_59042,None
student_74271,None
student_50578,None
student_34129,None
student_4895,02M418
student_161,28Q687
student_74603,18K576
student_72520,None
student_68963,None
student_74578,None
student_32259,None
student_57833,None
student_30857,None
student_22462,11X545
student_73093,None
student_21897,None
student_31089,02M520
student_63688,None
student_17797,None
student_71923,None
student_52488,None
student_74575,None
student_61161,None
student_66654,None
student_32415,None
student_63062,None
student_3391,02M260
student_47663,None
student_525,24Q299
student_49899,None
student_58911,None
student_54954,None
student_28177,None
student_33046,None
student_45928,06M552
student_11209,02M298
student_16775,None
student_37100,None
student_26311,None
student_47284,None
student_6930,02M546
student_6382,02M534
student_71381,None
student_38733,None
student_51176,None
student_73114,None
student_1560,05M692
student_8242,01M450
student_33422,None
student_18732,02M298
student_30238,None
student_2749,02M439
student_11550,02M546
student_63350,None
student_11076,22K535
student_35343,None
student_2858,01M696
student_25125,None
student_4181,02M418
student_60711,None
student_8419,03M494
student_39553,None
student_33068,02M425
student_52540,None
student_46218,None
student_21657,None
student_59316,18K576
student_57258,None
student_14481,01M450
student_51818,None
student_7251,02M534
student_8083,None
student_71475,None
student_56082,None
student_73011,None
student_383,02M280
student_56592,None
student_54004,None
student_21813,None
student_10269,02M298
student_45124,30Q450
student_17299,None
student_2835,02M439
student_27971,None
student_26190,02M407
student_23944,02M407
student_8017,02M294
student_47272,None
student_54391,None
student_59638,None
student_67953,None
student_37786,None
student_9202,02M425
student_67289,12X388
student_63305,None
student_66008,None
student_41929,None
student_60964,None
student_27806,None
student_12469,None
student_26036,None
student_39830,None
student_21226,02M520
student_18662,None
student_1143,10X696
student_10194,02M294
student_37571,None
student_25011,02M407
student_74296,02M425
student_27599,03M494
student_44980,None
student_72946,10X225
student_63496,None
student_41643,None
student_74390,None
student_57816,None
student_15686,01M696
student_13290,None
student_28645,02M425
student_16747,02M407
student_58285,None
student_18959,None
student_18478,16K765
student_64471,None
student_16940,02M298
student_46142,None
student_45931,None
student_41778,None
student_42982,None
student_56365,None
student_75392,None
student_57098,None
student_75148,None
student_74935,None
student_43819,02M520
student_23864,03M494
student_361,02M411
student_61592,None
student_59105,None
student_60263,None
student_41968,None
student_13711,01M450
student_68341,02M425
student_17979,02M520
student_65842,None
student_60505,None
student_27272,04M495
student_44930,None
student_66707,30Q450
student_73602,None
student_38112,06M552
student_53018,None
student_61723,None
student_46593,15K423
student_60252,None
student_13276,02M546
student_48908,None
student_40115,14K610
student_21387,None
student_1611,02M411
student_12220,None
student_61667,13K499
student_75462,None
student_54725,None
student_74101,None
student_40807,None
student_75739,None
student_40729,None
student_16176,21K620
student_55659,None
student_71366,None
student_51501,06M552
student_43557,None
student_12005,02M414
student_26666,03M494
student_27003,None
student_27993,None
student_24583,None
student_37710,None
student_5239,01M450
student_65520,None
student_17640,02M407
student_24995,None
student_3460,14K449
student_71032,None
student_25238,None
student_39765,None
student_66127,None
student_812,19K683
student_55562,None
student_63540,None
student_17606,02M520
student_2150,02M376
student_14320,01M450
student_37362,None
student_63968,None
student_49587,None
student_37622,None
student_74145,None
student_70433,None
student_13953,02M534
student_74355,None
student_62704,None
student_22619,None
student_12584,01M450
student_50587,11X545
student_75753,None
student_10905,01M696
student_10714,01M450
student_68061,None
student_71283,None
student_25731,None
student_58269,None
student_62665,None
student_70898,None
student_55971,None
student_22183,None
student_47092,None
student_27998,None
student_2171,01M539
student_43094,None
student_3908,04M555
student_66897,None
student_44335,14K610
student_60114,None
student_14351,02M298
student_22012,None
student_3302,13K674
student_69862,None
student_33381,None
student_57782,None
student_58384,None
student_72777,None
student_3562,02M534
student_9721,06M348
student_73254,None
student_27458,04M495
student_55755,None
student_35137,11X545
student_10446,02M294
student_66076,None
student_67931,None
student_6161,02M411
student_42285,None
student_64102,None
student_14698,01M696
student_31727,18K642
student_57138,28Q328
student_49811,None
student_67122,None
student_55432,None
student_46508,None
student_20459,None
student_71492,12X388
student_11683,01M450
student_74520,None
student_200,02M280
student_27209,None
student_11056,19K615
student_4953,02M294
student_5284,02M294
student_71483,None
student_25046,None
student_5992,30Q580
student_1746,02M544
student_15400,01M450
student_15165,02M546
student_21278,30Q450
student_41666,None
student_69028,None
student_60331,None
student_9182,02M294
student_48342,19K683
student_6040,02M298
student_15482,02M534
student_25727,None
student_24863,None
student_55842,12X248
student_34257,None
student_32364,None
student_60536,02M520
student_54299,02M425
student_517,02M280
student_39702,None
student_9425,None
student_41220,None
student_48670,11X545
student_61924,18K576
student_33526,02M580
student_21854,None
student_54483,02M520
student_25559,None
student_47267,None
student_18384,None
student_75741,None
student_74329,None
student_18991,None
student_28580,None
student_22573,None
student_44040,None
student_12952,02M298
student_34031,02M425
student_1643,14K449
student_58485,11X545
student_21442,None
student_50626,None
student_8053,02M260
student_42575,None
student_43077,None
student_46398,15K423
student_53548,02M520
student_39065,None
student_49404,06M552
student_21801,None
student_29816,None
student_50662,None
student_4062,02M294
student_30859,None
student_25891,None
student_41647,None
student_6407,04M495
student_45651,None
student_32163,None
student_66810,None
student_69577,02M580
student_25746,None
student_52490,19K615
student_63983,None
student_15025,01M450
student_61478,None
student_1008,02M418
student_14009,01M450
student_52633,06M552
student_9267,14K071
student_22863,None
student_39897,None
student_27920,None
student_7066,04M555
student_60300,None
student_41594,None
student_49302,None
student_27625,02M520
student_51496,None
student_42353,None
student_2908,04M555
student_2149,01M539
student_56831,19K683
student_44865,None
student_50006,None
student_68557,None
student_23446,None
student_36131,None
student_25844,None
student_4041,04M555
student_39517,None
student_3597,02M260
student_42926,02M580
student_55998,None
student_32564,None
student_7567,02M418
student_44035,None
student_62239,None
student_23580,None
student_45297,None
student_5337,02M294
student_1430,02M418
student_30005,None
student_32516,None
student_30450,None
student_26977,None
student_59768,None
student_71651,None
student_49107,10X225
student_22902,None
student_69998,None
student_1689,10X374
student_40671,None
student_50109,10X225
student_53383,None
student_1422,03M541
student_7390,02M407
student_13461,02M298
student_74942,None
student_71515,None
student_26847,02M520
student_40215,None
student_28558,02M544
student_51045,None
student_27109,None
student_16772,None
student_16004,02M520
student_43086,None
student_65147,02M580
student_28892,None
student_18565,28Q328
student_47932,None
student_8794,02M298
student_13629,02M407
student_15977,01M450
student_48012,None
student_75520,02M520
student_47684,None
student_74683,None
student_32623,None
student_61125,None
student_777,10X696
student_20366,14K610
student_7809,02M546
student_50666,None
student_21169,None
student_53862,None
student_23567,18K576
student_73963,19K510
student_27565,None
student_8347,01M539
student_58375,None
student_55792,None
student_8363,02M260
student_65828,None
student_35908,None
student_65596,None
student_27013,None
student_44958,02M580
student_41042,None
student_16713,02M520
student_36047,None
student_6511,02M294
student_54458,None
student_37917,None
student_30605,None
student_26117,None
student_15939,01M450
student_4197,02M298
student_32351,None
student_4509,02M298
student_2667,01M450
student_26845,None
student_2130,02M414
student_60743,None
student_37626,None
student_55420,None
student_32926,30Q450
student_70120,None
student_6477,02M439
student_20513,None
student_41943,None
student_40733,None
student_40468,None
student_4319,01M450
student_5750,01M696
student_25056,None
student_17717,03M494
student_24069,None
student_71706,None
student_4432,09X505
student_35633,None
student_68753,None
student_61037,11X545
student_20237,03M494
student_30142,None
student_5546,02M298
student_44263,None
student_55725,None
student_12094,02M316
student_42253,None
student_52523,None
student_13728,02M546
student_22965,None
student_28616,None
student_31499,None
student_6394,01M539
student_43375,None
student_3295,04M495
student_28016,14K071
student_70436,None
student_48761,None
student_56861,None
student_69510,11X545
student_17859,None
student_59948,None
student_59675,None
student_45441,None
student_40139,02M316
student_73926,None
student_23575,None
student_13847,01M696
student_71128,None
student_66585,None
student_70454,None
student_14529,01M696
student_35168,None
student_3553,01M450
student_26130,None
student_30335,None
student_52501,None
student_40706,None
student_21464,None
student_36049,None
student_32534,None
student_41603,None
student_34142,None
student_56612,None
student_3410,01M450
student_3671,01M450
student_18753,None
student_6954,01M450
student_42000,02M520
student_74616,None
student_31717,None
student_61542,None
student_15223,01M450
student_26606,None
student_50106,None
student_69591,None
student_10901,02M546
student_6874,04M555
student_63406,None
student_61930,None
student_1351,10X696
student_67094,None
student_47190,None
student_54293,None
student_49632,None
student_45307,06M552
student_14812,01M450
student_21469,None
student_59916,None
student_45546,None
student_23756,None
student_51576,None
student_62617,None
student_38562,None
student_66001,None
student_62114,None
student_25136,None
student_10033,01M696
student_20617,None
student_55316,None
student_42439,None
student_41904,None
student_64488,None
student_32501,02M316
student_29382,None
student_17163,15K423
student_18426,04M495
student_10802,02M376
student_35916,02M316
student_53778,None
student_26302,None
student_25602,None
student_47528,None
student_31778,None
student_6104,01M450
student_72388,02M425
student_66880,None
student_66443,None
student_15308,None
student_57760,None
student_37293,None
student_3557,14K449
student_23751,None
student_30709,None
student_18422,None
student_69233,None
student_70026,None
student_54456,None
student_11540,01M450
student_23953,None
student_70094,18K642
student_66973,None
student_26495,None
student_34301,None
student_27810,19K683
student_32369,None
student_71320,None
student_13501,01M450
student_4382,02M376
student_64201,None
student_14255,02M546
student_7608,01M696
student_38115,None
student_69855,None
student_36831,None
student_21807,03M494
student_21284,None
student_75266,02M438
student_73891,None
student_57705,None
student_21647,None
student_71021,None
student_53534,None
student_5237,02M294
student_74436,30Q450
student_52931,None
student_44271,30Q450
student_64177,None
student_62451,None
student_54107,None
student_22852,None
student_8140,02M260
student_44303,None
student_67331,None
student_69762,None
student_11715,10X374
student_56893,None
student_67913,None
student_8710,01M539
student_72188,None
student_12630,24Q299
student_24230,18K642
student_45135,06M552
student_8164,None
student_50232,None
student_53516,None
student_17356,02M425
student_60589,14K610
student_5031,01M450
student_73491,None
student_19921,02M520
student_36096,None
student_75152,None
student_67611,None
student_12176,02M298
student_33661,None
student_29558,None
student_65961,None
student_26671,None
student_60269,None
student_37947,None
student_16918,21K620
student_49483,None
student_37696,None
student_46461,None
student_57158,18K642
student_27649,04M495
student_55062,None
student_74818,None
student_5468,02M534
student_37450,None
student_67464,None
student_61858,None
student_10171,01M450
student_5303,02M414
student_56330,None
student_51202,02M580
student_52834,None
student_62868,None
student_54192,None
student_37034,None
student_37985,None
student_38517,None
student_25277,None
student_62201,None
student_21131,None
student_74678,None
student_59628,None
student_33394,None
student_70058,None
student_67852,None
student_17194,None
student_62686,None
student_9115,02M260
student_56691,None
student_73266,None
student_49590,None
student_2024,02M411
student_28920,None
student_44038,None
student_52001,None
student_9286,02M546
student_32052,None
student_71445,None
student_47496,None
student_22381,None
student_53192,02M425
student_497,02M411
student_2056,28Q687
student_43564,None
student_10368,None
student_63035,None
student_43349,02M316
student_59437,None
student_29488,None
student_30462,None
student_25591,None
student_57388,None
student_74598,None
student_25910,None
student_21172,None
student_52694,None
student_50425,None
student_21435,None
student_33533,None
student_39146,None
student_6600,02M418
student_48795,None
student_45419,None
student_30204,None
student_55220,None
student_28127,None
student_15847,02M580
student_46587,None
student_40682,None
student_59292,None
student_25392,None
student_57122,None
student_26317,None
student_12499,02M260
student_24836,None
student_1466,14K449
student_30929,None
student_12720,02M407
student_46741,None
student_74768,None
student_46731,None
student_60594,02M425
student_43049,None
student_21722,None
student_20315,None
student_111,02M475
student_7172,01M539
student_65820,None
student_41471,None
student_48019,None
student_27780,None
student_36752,None
student_3452,14K449
student_30935,None
student_75052,None
student_11843,02M260
student_55927,None
student_33787,None
student_44862,None
student_11897,31R080
student_22134,None
student_28453,None
student_71270,None
student_33180,None
student_71330,None
student_55924,None
student_52347,None
student_57410,None
student_43613,None
student_36635,None
student_16998,None
student_17775,None
student_6054,02M411
student_70429,None
student_31746,02M425
student_43571,None
student_38683,None
student_4208,02M418
student_22178,None
student_51082,None
student_69230,None
student_21317,None
student_4489,14K449
student_56622,None
student_50670,None
student_14093,01M450
student_20525,None
student_63117,None
student_59411,None
student_4680,02M534
student_1831,02M414
student_59970,None
student_67360,None
student_14985,24Q299
student_71056,None
student_2864,01M539
student_67183,None
student_8791,01M539
student_71778,30Q450
student_39810,None
student_7498,01M539
student_31468,None
student_14888,01M696
student_43840,None
student_54827,None
student_45549,None
student_1101,02M376
student_23228,None
student_6103,02M411
student_19453,None
student_11308,24Q299
student_56668,None
student_3590,02M414
student_9629,05M362
student_19644,None
student_72584,14K071
student_32636,None
student_71856,None
student_60216,None
student_57903,None
student_24654,None
student_35297,None
student_1347,02M411
student_8008,02M260
student_49221,02M316
student_6819,02M546
student_21371,None
student_73577,None
student_72553,None
student_2747,02M414
student_4318,02M418
student_60288,None
student_68921,None
student_10563,02M294
student_68568,None
student_49236,None
student_18040,04M495
student_49422,None
student_58982,None
student_63846,None
student_26429,None
student_7034,01M450
student_24789,None
student_70907,None
student_65710,None
student_4602,01M696
student_7202,02M546
student_21477,None
student_33257,None
student_24271,None
student_28702,None
student_15262,02M534
student_39700,None
student_1732,02M418
student_15632,01M450
student_39380,02M425
student_57249,None
student_13095,01M696
student_62124,None
student_37139,None
student_74563,None
student_62690,None
student_12597,02M260
student_20160,None
student_37594,None
student_29792,None
student_8630,02M376
student_48806,None
student_72628,None
student_52215,None
student_46565,None
student_57458,02M438
student_36797,None
student_38940,None
student_50247,None
student_4655,02M414
student_53404,02M520
student_75171,None
student_35089,None
student_38873,None
student_52503,None
student_36853,02M580
student_66794,None
student_61416,None
student_56539,None
student_15383,None
student_67762,None
student_41828,None
student_58101,None
student_69094,02M438
student_25852,None
student_44755,None
student_4453,02M411
student_39954,None
student_14675,02M534
student_31859,None
student_65,02M400
student_27546,None
student_17342,30Q575
student_37166,None
student_9723,02M438
student_35232,None
student_35099,None
student_57040,None
student_7469,02M260
student_26099,04M495
student_17995,24Q299
student_22075,None
student_63695,None
student_73252,None
student_7641,02M260
student_57979,None
student_18015,24Q299
student_25091,04M495
student_2738,02M376
student_7719,02M534
student_23886,None
student_46319,None
student_57814,None
student_57510,None
student_24831,None
student_33790,None
student_34474,None
student_5998,02M534
student_29415,None
student_19163,None
student_19588,None
student_37776,None
student_63991,None
student_19408,None
student_13062,02M376
student_4445,02M260
student_29644,None
student_74698,None
student_19961,04M495
student_8184,01M539
student_49109,None
student_26219,None
student_55161,None
student_397,02M376
student_61268,02M425
student_43264,None
student_47649,None
student_31637,None
student_14230,02M534
student_43978,None
student_7146,01M539
student_31821,None
student_74319,None
student_27990,None
student_45506,None
student_15629,None
student_71386,None
student_8552,None
student_46669,None
student_43744,None
student_70038,None
student_67207,None
student_51756,None
student_58888,None
student_15562,04M495
student_26004,None
student_35561,None
student_50456,None
student_66857,None
student_1849,05M692
student_7394,04M495
student_41942,None
student_23883,04M495
student_6899,02M534
student_33116,None
student_43080,None
student_43233,None
student_5092,24Q264
student_71065,None
student_23000,None
student_12189,02M260
student_26298,None
student_9142,01M696
student_36085,None
student_68665,None
student_51017,None
student_70730,None
student_2397,02M414
student_28757,None
student_40095,None
student_25964,None
student_68430,None
student_33115,None
student_36077,11X514
student_52338,19K615
student_46973,None
student_43292,None
student_34804,None
student_58759,None
student_57397,18K576
student_18658,None
student_28475,None
student_66436,None
student_75022,None
student_15878,02M534
student_19264,None
student_20914,None
student_15824,24Q299
student_72303,None
student_51481,None
student_10666,02M546
student_35913,None
student_10018,02M298
student_16423,02M438
student_68057,None
student_49626,None
student_70651,None
student_35821,None
student_43310,None
student_17642,None
student_26502,None
student_28211,None
student_43160,None
student_42803,None
student_43126,None
student_71909,02M580
student_36806,None
student_66183,None
student_58603,None
student_71747,None
student_41458,None
student_67054,None
student_51206,None
student_8966,24Q299
student_10704,30Q575
student_38509,None
student_29146,None
student_59091,None
student_63848,None
student_55752,None
student_8337,24Q299
student_17227,None
student_22817,None
student_40779,None
student_43611,02M425
student_5828,02M414
student_42239,None
student_27785,None
student_40331,None
student_13764,04M495
student_15966,01M696
student_7417,01M539
