School District,Category,Pre-K Applicants,Pre-K Offers,Kindergarten Applicants,Kindergarten Offers,Grade 6 Applicants,Grade 6 Offers,Grade 9 Applicants,Grade 9 Offers
1,All Students,998,719,"1,090",726,"3,536",823,"11,208","1,172"
1,Home Language is (AMERICAN) SIGN LANGUAGE,N/A,N/A,N/A,N/A,s,s,s,s
1,Home Language is ADANGME,N/A,N/A,N/A,N/A,s,s,s,s
1,Home Language is AFRIKAANS,N/A,N/A,N/A,N/A,s,s,s,s
1,Home Language is ALBANIAN,N/A,N/A,N/A,N/A,s,s,39,s
1,Home Language is AMHARIC,N/A,N/A,N/A,N/A,s,s,s,s
1,Home Language is AMOY,N/A,N/A,N/A,N/A,s,s,7,s
1,Home Language is ARABIC,N/A,N/A,N/A,N/A,13,s,80,7
1,Home Language is ARMENIAN,N/A,N/A,N/A,N/A,s,s,6,s
1,Home Language is BAMBARA,N/A,N/A,N/A,N/A,s,s,6,s
1,Home Language is BELORUSSIAN,N/A,N/A,N/A,N/A,s,s,s,s
1,Home Language is BENGALI,N/A,N/A,N/A,N/A,56,s,565,42
1,Home Language is BIHARI,N/A,N/A,N/A,N/A,s,s,s,s
1,Home Language is BOSNIAN,N/A,N/A,N/A,N/A,s,s,s,s
1,Home Language is BULGARIAN,N/A,N/A,N/A,N/A,s,s,6,s
1,Home Language is BURMESE,N/A,N/A,N/A,N/A,s,s,s,s
1,Home Language is CANTONESE,N/A,N/A,N/A,N/A,67,17,184,16
1,Home Language is CATALAN,N/A,N/A,N/A,N/A,s,s,s,s
1,Home Language is CEBUAN,N/A,N/A,N/A,N/A,s,s,s,s
1,Home Language is CHAM,N/A,N/A,N/A,N/A,s,s,s,s
1,"Home Language is CHINESE,ANY",N/A,N/A,N/A,N/A,116,26,386,45
1,Home Language is CHINESE-DIALECT UNKNOWN/OTHER,N/A,N/A,N/A,N/A,s,s,24,s
1,Home Language is CHINESE/ANY-SPANISH,N/A,N/A,N/A,N/A,s,s,s,s
1,Home Language is CZECH,N/A,N/A,N/A,N/A,s,s,s,s
