District,Total Applicants,Offer to Top 3 Choice,Offer to Top 5 Choice,Offer to Top 10 Choice,"Offer to Choice 
1-12",Offer to Any Choice (including SHS),Percent of Offers to Any Choice (including SHS),,District,% Received Top 3 offer.,% Received offer Top 5,% Received offer Top 10,% Received offer 1-12,,,,,8th graders (20/21),9th grade seats
1,598,397,455,547,560,571,95%,,1,66,76,91,94,,,,Queens,22246,
2,2592,1243,1549,1989,2116,2242,86%,,2,48,60,77,82,,,,Staten Island,4827,
3,1243,705,862,1036,1091,1134,91%,,3,57,69,83,88,,,,Manhattan,11166,
4,853,591,706,790,796,798,94%,,4,69,83,93,93,,,,Bronx,24316,
5,1063,808,918,1005,1016,1020,96%,,5,76,86,95,96,,,,Brooklyn,17061,
6,1694,1284,1469,1610,1628,1634,96%,,6,76,87,95,96,,,,,,
7,1444,1121,1260,1367,1381,1382,96%,,7,78,87,95,96,,,,,,
8,2400,1903,2100,2258,2280,2285,95%,,8,79,88,94,95,,,,,,
9,3023,2396,2699,2917,2934,2935,97%,,9,79,89,96,97,,,,,,
10,4102,3266,3627,3909,3935,3941,96%,,10,80,88,95,96,,,,,,
11,3497,2774,3070,3292,3331,3334,95%,,11,79,88,94,95,,,,,,
12,1891,1556,1698,1810,1827,1827,97%,,12,82,90,96,97,,,,,,
13,1056,755,867,960,981,991,94%,,13,71,82,91,93,,,,,,
14,1004,801,883,940,944,947,94%,,14,80,88,94,94,,,,,,
15,2489,1658,1966,2214,2266,2294,92%,,15,67,79,89,91,,,,,,
16,753,624,685,731,734,735,98%,,16,83,91,97,97,,,,,,
17,1800,1438,1605,1728,1738,1739,97%,,17,80,89,96,97,,,,,,
18,1565,1212,1370,1482,1489,1489,95%,,18,77,88,95,95,,,,,,
19,2402,2011,2193,2298,2315,2315,96%,,19,84,91,96,96,,,,,,
20,3853,2824,3215,3547,3592,3599,93%,,20,73,83,92,93,,,,,,
21,2387,1713,1953,2157,2166,2175,91%,,21,72,82,90,91,,,,,,
22,3185,2094,2517,2826,2841,2849,89%,,22,66,79,89,89,,,,,,
23,1015,892,955,995,999,999,98%,,23,88,94,98,98,,,,,,
24,4947,3173,3875,4442,4502,4518,91%,,24,64,78,90,91,,,,,,
25,2802,1662,2131,2505,2538,2558,91%,,25,59,76,89,91,,,,,,
26,2125,1350,1670,1912,1941,1957,92%,,26,64,79,90,91,,,,,,
27,3950,2881,3341,3610,3641,3647,92%,,27,73,85,91,92,,,,,,
28,2779,1935,2279,2566,2595,2602,94%,,28,70,82,92,93,,,,,,
29,2816,2063,2374,2637,2655,2659,94%,,29,73,84,94,94,,,,,,
30,3131,2031,2475,2859,2911,2929,94%,,30,65,79,91,93,,,,,,
31,4783,4120,4443,4564,4569,4572,96%,,31,86,93,95,96,,,,,,
32,1024,888,962,1000,1003,1003,98%,,32,87,94,98,98,,,,,,
Total,74266,54169,62172,68503,69315,69680,94%,,TOTAL,73,84,92,93,,,,,,
