Residential District,Total Applicants,# Matches to Choice 1-3,# Matches to Choice 1-5,# Matches to Choice 1-10,# Matches to Choice 1-12,# Matches to Any Choice (Incl. SHS & LGA),% Matches to Choice 1-3,% Matches to Choice 1-5,% Matches to Choice 1-10,% Matches to Choice 1-12,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 01,592,167,248,356,357,# Matches to Any Choice (Incl. SHS & LGA),28%,42%,60%,60%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 02,2342,590,882,1319,1350,# Matches to Any Choice (Incl. SHS & LGA),25%,38%,56%,58%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 03,1175,465,663,916,927,# Matches to Any Choice (Incl. SHS & LGA),40%,56%,78%,79%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 04,870,634,763,834,835,# Matches to Any Choice (Incl. SHS & LGA),73%,88%,96%,96%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 05,1023,864,979,1021,1021,# Matches to Any Choice (Incl. SHS & LGA),84%,96%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 06,1660,1462,1611,1649,1649,# Matches to Any Choice (Incl. SHS & LGA),88%,97%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 07,1348,1159,1304,1338,1338,# Matches to Any Choice (Incl. SHS & LGA),86%,97%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 08,2282,2122,2248,2281,2281,# Matches to Any Choice (Incl. SHS & LGA),93%,99%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 09,2847,2698,2822,2845,2845,# Matches to Any Choice (Incl. SHS & LGA),95%,99%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 10,3825,3740,3818,3822,3822,# Matches to Any Choice (Incl. SHS & LGA),98%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 11,3277,3249,3270,3277,3277,# Matches to Any Choice (Incl. SHS & LGA),99%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 12,1786,1776,1783,1785,1785,# Matches to Any Choice (Incl. SHS & LGA),99%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 13,1021,748,931,1007,1007,# Matches to Any Choice (Incl. SHS & LGA),73%,91%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 14,973,881,955,967,967,# Matches to Any Choice (Incl. SHS & LGA),91%,98%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 15,2296,1898,2160,2255,2255,# Matches to Any Choice (Incl. SHS & LGA),83%,94%,98%,98%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 16,739,718,739,739,739,# Matches to Any Choice (Incl. SHS & LGA),97%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 17,1658,1604,1653,1658,1658,# Matches to Any Choice (Incl. SHS & LGA),97%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 18,1390,1363,1388,1390,1390,# Matches to Any Choice (Incl. SHS & LGA),98%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 19,2298,2276,2294,2297,2297,# Matches to Any Choice (Incl. SHS & LGA),99%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 20,3747,3669,3710,3712,3712,# Matches to Any Choice (Incl. SHS & LGA),98%,99%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 21,2361,2330,2339,2342,2342,# Matches to Any Choice (Incl. SHS & LGA),99%,99%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 22,3064,3029,3048,3050,3050,# Matches to Any Choice (Incl. SHS & LGA),99%,99%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 23,1018,1010,1016,1018,1018,# Matches to Any Choice (Incl. SHS & LGA),99%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 24,5038,4355,4848,4996,4996,# Matches to Any Choice (Incl. SHS & LGA),86%,96%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 25,2614,2459,2552,2559,2559,# Matches to Any Choice (Incl. SHS & LGA),94%,98%,98%,98%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 27,3736,3711,3731,3734,3734,# Matches to Any Choice (Incl. SHS & LGA),99%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 28,2805,2768,2784,2792,2792,# Matches to Any Choice (Incl. SHS & LGA),99%,99%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 29,2691,2684,2689,2690,2690,# Matches to Any Choice (Incl. SHS & LGA),100%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 30,3110,3016,3057,3086,3086,# Matches to Any Choice (Incl. SHS & LGA),97%,98%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 31,4675,4545,4554,4554,4554,# Matches to Any Choice (Incl. SHS & LGA),97%,97%,97%,97%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 32,960,951,958,959,959,# Matches to Any Choice (Incl. SHS & LGA),99%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District Unknown,203,196,200,201,201,# Matches to Any Choice (Incl. SHS & LGA),97%,99%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 26,1925,1888,1893,1893,1893,# Matches to Any Choice (Incl. SHS & LGA),98%,98%,98%,98%,% Matches to Any Choice (Incl. SHS & LGA)
Total,71349,65025,67890,69342,69386,# Matches to Any Choice (Incl. SHS & LGA),91%,95%,97%,97%,% Matches to Any Choice (Incl. SHS & LGA),
