Student_Id,School
student_1679,04M495
student_6494,01M448
student_48633,02M282
student_14625,02M420
student_38343,02M529
student_59042,01M292
student_50578,03M403
student_34129,02M546
student_4895,02M411
student_161,01M539
student_68963,08X405
student_32259,02M407
student_57833,02M282
student_30857,02M507
student_22462,02M305
student_21897,02M413
student_31089,02M432
student_63688,02M419
student_17797,01M450
student_52488,02M533
student_61161,01M292
student_66654,01M292
student_32415,02M407
student_63062,02M420
student_3391,01M539
student_47663,02M308
student_525,02M411
student_49899,02M308
student_58911,01M515
student_54954,06M463
student_28177,02M047
student_33046,02M282
student_45928,01M292
student_11209,02M520
student_16775,04M555
student_37100,02M298
student_26311,02M420
student_47284,06M467
student_6930,02M413
student_6382,02M294
student_38733,02M605
student_51176,27Q480
student_1560,01M539
student_8242,02M630
student_33422,01M448
student_18732,16K498
student_30238,26Q430
student_2749,02M408
student_11550,02M543
student_63350,02M533
student_11076,20K485
student_35343,10X351
student_2858,02M411
student_25125,02M298
student_4181,01M450
student_60711,02M135
student_8419,02M600
student_39553,02M399
student_33068,01M539
student_52540,02M543
student_46218,02M308
student_21657,01M539
student_59316,04M372
student_57258,03M403
student_14481,02M420
student_51818,02M615
student_7251,02M298
student_8083,01M292
student_56082,02M282
student_383,13K419
student_56592,None
student_54004,01M292
student_21813,02M308
student_10269,02M376
student_45124,01M292
student_17299,14K477
student_2835,02M425
student_27971,01M539
student_26190,01M448
student_23944,02M047
student_8017,02M280
student_47272,02M425
student_54391,02M308
student_59638,02M425
student_67953,02M422
student_37786,01M448
student_9202,04M555
student_67289,None
student_63305,None
student_66008,None
student_41929,02M135
student_60964,02M615
student_27806,02M534
student_12469,02M420
student_26036,02M298
student_39830,02M280
student_21226,01M450
student_18662,04M555
student_1143,02M411
student_10194,02M294
student_37571,02M489
student_25011,31R445
student_27599,01M448
student_44980,04M435
student_63496,03M492
student_41643,01M448
student_57816,32K168
student_15686,01M448
student_13290,02M439
student_28645,02M543
student_16747,02M418
student_58285,02M533
student_18959,02M308
student_18478,02M308
student_64471,02M586
student_16940,03M479
student_46142,02M288
student_45931,02M298
student_41778,15K429
student_42982,02M534
student_56365,None
student_57098,01M292
student_43819,02M543
student_23864,02M489
student_361,02M529
student_61592,01M292
student_59105,02M420
student_60263,10X442
student_41968,19K404
student_13711,08X312
student_68341,None
student_17979,02M280
student_65842,02M533
student_60505,04M610
student_27272,01M448
student_44930,14K610
student_66707,02M419
student_38112,02M280
student_53018,02M533
student_61723,02M420
student_46593,02M520
student_60252,02M420
student_13276,02M439
student_48908,02M520
student_40115,02M500
student_21387,02M543
student_1611,02M418
student_12220,15K684
student_61667,02M543
student_54725,02M305
student_40807,02M422
student_40729,01M450
student_16176,04M435
student_55659,23K493
student_51501,02M400
student_43557,02M298
student_12005,01M292
student_26666,02M630
student_27003,02M545
student_27993,06M463
student_24583,01M448
student_37710,01M450
student_5239,01M696
student_65520,None
student_17640,07X600
student_24995,02M376
student_3460,02M438
student_71032,None
student_25238,02M425
student_39765,02M543
student_66127,None
student_812,01M450
