Student_Id,School
student_1679,02M411
student_6494,19K404
student_48633,None
student_14625,None
student_38343,19K659
student_59042,None
student_50578,None
student_34129,None
student_4895,02M411
student_161,01M696
student_68963,None
student_32259,02M500
student_57833,None
student_30857,None
student_22462,02M047
student_21897,17K537
student_31089,None
student_63688,None
student_17797,02M605
student_52488,02M500
student_61161,None
student_66654,None
student_32415,None
student_63062,None
student_3391,02M411
student_47663,None
student_525,01M292
student_49899,None
student_58911,None
student_54954,02M047
student_28177,None
student_33046,None
student_45928,None
student_11209,04M555
student_16775,None
student_37100,None
student_26311,25Q425
student_47284,None
student_6930,None
student_6382,19K404
student_38733,None
student_51176,None
student_1560,02M408
student_8242,None
student_33422,None
student_18732,None
student_30238,25Q460
student_2749,24Q299
student_11550,02M394
student_63350,None
student_11076,02M605
student_35343,21K572
student_2858,02M411
student_25125,04M555
student_4181,None
student_60711,None
student_8419,04M555
student_39553,None
student_33068,None
student_52540,None
student_46218,None
student_21657,None
student_59316,None
student_57258,08X405
student_14481,None
student_51818,None
student_7251,04M555
student_8083,None
student_56082,17K537
student_383,02M282
student_56592,31R455
student_54004,None
student_21813,None
student_10269,02M412
student_45124,31R450
student_17299,None
student_2835,02M416
student_27971,None
student_26190,30Q450
student_23944,02M047
student_8017,02M411
student_47272,None
student_54391,23K493
student_59638,None
student_67953,None
student_37786,None
student_9202,None
student_67289,19K659
student_63305,None
student_66008,25Q460
student_41929,None
student_60964,None
student_27806,None
student_12469,None
student_26036,None
student_39830,30Q417
student_21226,None
student_18662,None
student_1143,02M422
student_10194,None
student_37571,19K404
student_25011,None
student_27599,None
student_44980,02M500
student_63496,None
student_41643,None
student_57816,None
student_15686,None
student_13290,02M047
student_28645,31R445
student_16747,None
student_58285,None
student_18959,30Q417
student_18478,None
student_64471,None
student_16940,02M438
student_46142,31R440
student_45931,None
student_41778,31R455
student_42982,None
student_56365,02M500
student_57098,None
student_43819,None
student_23864,None
student_361,02M305
student_61592,21K572
student_59105,None
student_60263,02M047
student_41968,19K404
student_13711,None
student_68341,None
student_17979,None
student_65842,None
student_60505,None
student_27272,None
student_44930,None
student_66707,None
student_38112,None
student_53018,None
student_61723,None
student_46593,None
student_60252,None
student_13276,None
student_48908,None
student_40115,None
student_21387,None
student_1611,03M479
student_12220,None
student_61667,17K539
student_54725,None
student_40807,None
student_40729,None
student_16176,None
student_55659,30Q417
student_51501,None
student_43557,None
student_12005,02M605
student_26666,None
student_27003,None
student_27993,None
student_24583,None
student_37710,None
student_5239,09X505
student_65520,None
student_17640,04M555
student_24995,04M555
student_3460,None
student_71032,None
student_25238,None
student_39765,31R450
student_66127,None
student_812,04M372
student_55562,None
student_63540,None
student_17606,22K611
student_2150,02M416
student_14320,None
student_37362,None
student_63968,None
student_49587,None
student_37622,17K546
student_70433,None
student_13953,15K684
student_62704,None
student_22619,None
student_12584,15K684
student_50587,None
student_71254,None
student_10905,15K684
student_10714,22K611
student_68061,None
student_25731,None
student_58269,None
student_62665,None
student_70898,21K540
student_55971,None
student_22183,None
student_47092,None
student_27998,None
student_2171,01M292
student_43094,19K404
student_3908,01M292
student_66897,None
student_44335,None
student_60114,None
student_14351,None
student_22012,None
student_3302,15K684
student_69862,30Q445
student_33381,None
student_57782,02M500
student_58384,None
student_3562,04M555
student_9721,None
student_27458,None
student_55755,None
student_35137,17K539
student_10446,06M462
student_66076,None
student_67931,None
student_6161,02M438
student_42285,30Q417
student_64102,27Q480
student_14698,None
student_31727,None
student_57138,None
student_49811,None
student_67122,None
student_55432,None
student_46508,None
student_20459,None
student_11683,None
student_200,01M696
student_27209,21K572
student_11056,None
student_4953,02M500
student_5284,02M411
student_25046,None
student_5992,None
student_1746,01M292
student_15400,None
student_15165,None
student_21278,None
student_41666,None
student_69028,None
student_60331,None
student_9182,02M394
student_48342,None
student_6040,None
student_15482,None
student_25727,19K404
student_24863,None
student_55842,02M500
student_34257,None
student_32364,None
student_60536,None
student_54299,21K410
student_517,02M411
student_39702,None
student_9425,15K684
student_41220,None
student_48670,None
student_61924,None
student_33526,None
student_21854,None
student_54483,19K659
student_25559,None
student_47267,None
student_18384,None
student_71244,None
student_18991,02M047
student_28580,None
student_22573,None
student_44040,None
student_12952,None
student_34031,None
student_1643,02M533
student_58485,None
student_21442,None
student_50626,None
student_8053,02M412
student_42575,None
student_43077,27Q480
student_46398,None
student_53548,None
student_39065,28Q505
student_49404,None
student_21801,02M500
student_29816,None
student_50662,None
student_4062,None
student_30859,None
student_25891,None
student_41647,None
student_6407,None
student_45651,None
student_32163,None
student_66810,28Q505
student_69577,31R455
student_25746,None
student_52490,23K493
student_63983,02M047
student_15025,None
student_61478,None
student_1008,17K547
student_14009,None
student_52633,None
student_9267,02M412
student_22863,None
student_39897,None
student_27920,None
student_7066,24Q296
student_60300,None
student_41594,None
student_49302,None
student_27625,None
student_51496,None
student_42353,None
student_2908,01M292
student_2149,02M408
student_56831,30Q445
student_44865,None
student_50006,None
student_68557,None
student_23446,04M555
student_36131,27Q302
student_25844,10X141
student_4041,02M416
student_39517,None
student_3597,02M411
student_42926,None
student_55998,None
student_32564,None
student_7567,02M411
student_44035,None
student_62239,None
student_23580,None
student_45297,None
student_5337,02M412
student_1430,02M411
student_30005,None
student_32516,None
student_30450,None
student_26977,None
student_59768,02M500
student_49107,None
student_22902,None
student_69998,None
student_1689,02M533
student_40671,None
student_50109,None
student_53383,None
student_1422,24Q299
student_7390,07X495
student_13461,None
student_26847,None
student_40215,None
student_28558,None
student_51045,None
student_27109,None
student_16772,02M560
student_16004,04M555
student_43086,None
student_65147,None
student_28892,None
student_18565,24Q296
student_47932,None
student_8794,None
student_13629,None
student_15977,04M555
student_48012,30Q445
student_71041,None
student_47684,None
student_32623,None
student_61125,None
student_777,01M292
student_20366,None
student_7809,02M416
student_50666,None
student_21169,None
student_53862,None
student_23567,None
student_27565,02M303
student_8347,None
student_58375,09X297
student_55792,None
student_8363,07X495
student_65828,None
student_35908,None
student_65596,None
student_27013,None
student_44958,None
student_41042,28Q505
student_16713,None
student_36047,None
student_6511,02M416
student_54458,None
student_37917,None
student_30605,25Q460
student_26117,None
student_15939,None
student_4197,02M412
student_32351,None
student_4509,02M438
student_2667,02M296
student_26845,None
student_2130,27Q302
student_60743,None
student_37626,None
student_55420,None
student_32926,None
student_70120,None
student_6477,04M555
student_20513,None
student_41943,28Q505
student_40733,None
student_40468,None
student_4319,02M432
student_5750,02M411
student_25056,None
student_17717,None
student_24069,None
student_4432,02M605
student_35633,None
student_68753,02M500
student_61037,None
student_20237,17K546
student_30142,None
student_5546,02M412
student_44263,None
student_55725,None
student_12094,02M438
student_42253,None
student_52523,None
student_13728,02M303
student_22965,04M555
student_28616,None
student_31499,None
student_6394,02M411
student_43375,02M303
student_3295,02M416
student_28016,02M500
student_70436,25Q425
student_48761,None
student_56861,02M047
student_69510,None
student_17859,02M438
student_59948,None
student_59675,None
student_45441,02M047
student_40139,None
student_23575,None
student_13847,None
student_66585,None
student_70454,None
student_14529,None
student_35168,None
student_3553,02M412
student_26130,04M555
student_30335,None
student_52501,02M047
student_40706,None
student_21464,None
student_36049,02M047
student_32534,None
student_41603,None
student_34142,None
student_56612,None
student_3410,02M500
student_3671,02M047
student_18753,22K611
student_6954,None
student_42000,10X442
student_31717,None
student_61542,None
student_15223,None
student_26606,None
student_50106,None
student_69591,02M303
student_10901,None
student_6874,None
student_63406,None
student_61930,27Q302
student_1351,04M680
student_67094,02M047
student_47190,None
student_54293,None
student_49632,None
student_45307,02M047
student_14812,None
student_21469,17K537
student_59916,None
student_45546,None
student_23756,None
student_51576,None
student_62617,None
student_38562,None
student_66001,None
student_62114,None
student_25136,None
student_10033,02M416
student_20617,None
student_55316,20K505
student_42439,None
student_41904,None
student_64488,None
student_32501,None
student_29382,None
student_17163,21K410
student_18426,10X141
student_10802,None
student_35916,None
student_53778,None
student_26302,02M047
student_25602,None
student_47528,None
student_31778,30Q417
student_6104,None
student_66880,None
student_66443,None
student_15308,None
student_57760,None
student_37293,None
student_3557,None
student_23751,None
student_30709,None
student_18422,None
student_69233,02M500
student_70026,None
student_54456,None
student_11540,None
student_23953,None
student_70094,None
student_66973,None
student_26495,None
student_34301,None
student_27810,None
student_32369,None
student_13501,None
student_4382,02M416
student_64201,None
student_14255,None
student_7608,02M416
student_38115,None
student_69855,None
student_36831,None
student_21807,None
student_21284,None
student_57705,None
student_21647,None
student_53534,None
student_5237,None
student_52931,None
student_44271,None
student_64177,None
student_62451,None
student_54107,None
student_22852,31R455
student_8140,None
student_44303,27Q480
student_67331,02M047
student_69762,None
student_11715,None
student_56893,None
student_67913,None
student_8710,02M438
student_12630,None
student_24230,21K572
student_45135,None
student_8164,02M416
student_50232,None
student_53516,21K572
student_17356,04M555
student_60589,None
student_5031,15K684
student_19921,None
student_36096,02M047
student_67611,None
student_12176,31R455
student_33661,None
student_29558,None
student_65961,10X442
student_26671,None
student_60269,15K667
student_37947,None
student_16918,None
student_49483,None
student_37696,None
student_46461,None
student_57158,None
student_27649,None
student_55062,19K404
student_5468,02M432
student_37450,None
student_67464,None
student_61858,None
student_10171,02M412
student_5303,02M412
student_56330,18K637
student_51202,None
student_52834,None
student_62868,None
student_54192,None
student_37034,None
student_37985,None
student_38517,None
student_25277,06M462
student_62201,None
student_21131,None
student_59628,None
student_33394,None
student_70058,08X405
student_67852,None
student_17194,15K684
student_62686,None
student_9115,02M416
student_56691,None
student_49590,None
student_2024,02M416
student_28920,None
student_44038,None
student_52001,None
student_9286,02M416
student_32052,None
student_47496,02M303
student_22381,None
student_53192,None
student_497,02M412
student_2056,02M422
student_43564,None
student_10368,02M412
student_63035,None
student_43349,None
student_59437,None
student_29488,None
student_30462,None
student_25591,None
student_57388,None
student_25910,04M555
student_21172,None
student_52694,None
student_50425,02M047
student_21435,04M555
student_33533,None
student_39146,None
student_6600,02M411
student_48795,None
student_45419,None
student_30204,None
student_55220,None
student_28127,None
student_15847,None
student_46587,None
student_40682,None
student_59292,None
student_25392,04M555
student_57122,None
student_26317,None
student_12499,None
student_24836,None
student_1466,24Q299
student_30929,None
student_12720,None
student_46741,None
student_46731,None
student_60594,None
student_43049,15K667
student_21722,None
student_20315,None
student_111,02M412
student_7172,02M411
student_65820,None
student_41471,27Q400
student_48019,None
student_27780,None
student_36752,None
student_3452,02M416
student_30935,None
student_11843,None
student_55927,None
student_33787,None
student_44862,None
student_11897,None
student_22134,None
student_28453,30Q417
student_33180,None
student_55924,None
student_52347,02M303
student_57410,None
student_43613,None
student_36635,None
student_16998,02M500
student_17775,None
student_6054,02M412
student_70429,None
student_31746,None
student_43571,None
student_38683,None
student_4208,04M555
student_22178,None
student_51082,None
student_69230,None
student_21317,None
student_4489,02M416
student_56622,None
student_50670,None
student_14093,None
student_20525,30Q445
student_63117,None
student_59411,None
student_4680,04M555
student_1831,02M416
student_59970,None
student_67360,None
student_14985,04M555
student_2864,02M408
student_67183,None
student_8791,02M412
student_39810,None
student_7498,02M416
student_31468,None
student_14888,None
student_43840,None
student_54827,None
student_45549,None
student_1101,02M411
student_23228,None
student_6103,02M411
student_19453,None
student_11308,08X367
student_56668,None
student_3590,02M412
student_9629,None
student_19644,None
student_32636,None
student_60216,None
student_57903,None
student_24654,None
student_35297,None
student_1347,02M411
student_8008,02M412
student_49221,None
student_6819,25Q425
student_21371,None
student_2747,04M555
student_4318,02M412
student_60288,02M500
student_68921,None
student_10563,02M412
student_68568,None
student_49236,None
student_18040,None
student_49422,None
student_58982,None
student_63846,None
student_26429,None
student_7034,02M412
student_24789,None
student_65710,None
student_4602,02M427
student_7202,02M411
student_21477,None
student_33257,None
student_24271,04M555
student_28702,30Q417
student_15262,None
student_39700,None
student_1732,02M412
student_15632,None
student_39380,None
student_57249,30Q450
student_13095,None
student_62124,None
student_37139,30Q450
student_62690,None
student_12597,15K684
student_20160,02M500
student_37594,None
student_29792,None
student_8630,02M412
student_48806,21K348
student_52215,None
