Student_Id,Residential_District
student_1679,Residential District 01
student_6494,Residential District 01
student_48633,Residential District 01
student_14625,Residential District 01
student_38343,Residential District 01
student_59042,Residential District 01
student_50578,Residential District 01
student_34129,Residential District 01
student_4895,Residential District 01
student_161,Residential District 01
student_68963,Residential District 01
student_32259,Residential District 01
student_57833,Residential District 01
student_30857,Residential District 01
student_22462,Residential District 01
student_21897,Residential District 01
student_31089,Residential District 01
student_63688,Residential District 01
student_17797,Residential District 01
student_52488,Residential District 01
student_61161,Residential District 01
student_66654,Residential District 01
student_32415,Residential District 01
student_63062,Residential District 01
student_3391,Residential District 01
student_47663,Residential District 01
student_525,Residential District 01
student_49899,Residential District 01
student_58911,Residential District 01
student_54954,Residential District 01
student_28177,Residential District 01
student_33046,Residential District 01
student_45928,Residential District 01
student_11209,Residential District 01
student_16775,Residential District 01
student_37100,Residential District 01
student_26311,Residential District 01
student_47284,Residential District 01
student_6930,Residential District 01
student_6382,Residential District 01
student_38733,Residential District 01
student_51176,Residential District 01
student_1560,Residential District 01
student_8242,Residential District 01
student_33422,Residential District 01
student_18732,Residential District 01
student_30238,Residential District 01
student_2749,Residential District 01
student_11550,Residential District 01
student_63350,Residential District 01
student_11076,Residential District 01
student_35343,Residential District 01
student_2858,Residential District 01
student_25125,Residential District 01
student_4181,Residential District 01
student_60711,Residential District 01
student_8419,Residential District 01
student_39553,Residential District 01
student_33068,Residential District 01
student_52540,Residential District 01
student_46218,Residential District 01
student_21657,Residential District 01
student_59316,Residential District 01
student_57258,Residential District 01
student_14481,Residential District 01
student_51818,Residential District 01
student_7251,Residential District 01
student_8083,Residential District 01
student_56082,Residential District 01
student_383,Residential District 01
student_56592,Residential District 01
student_54004,Residential District 01
student_21813,Residential District 01
student_10269,Residential District 01
student_45124,Residential District 01
student_17299,Residential District 01
student_2835,Residential District 01
student_27971,Residential District 01
student_26190,Residential District 01
student_23944,Residential District 01
student_8017,Residential District 01
student_47272,Residential District 01
student_54391,Residential District 01
student_59638,Residential District 01
student_67953,Residential District 01
student_37786,Residential District 01
student_9202,Residential District 01
student_67289,Residential District 01
student_63305,Residential District 01
student_66008,Residential District 01
student_41929,Residential District 01
student_60964,Residential District 01
student_27806,Residential District 01
student_12469,Residential District 01
student_26036,Residential District 01
student_39830,Residential District 01
student_21226,Residential District 01
student_18662,Residential District 01
student_1143,Residential District 01
student_10194,Residential District 01
student_37571,Residential District 01
student_25011,Residential District 01
student_27599,Residential District 01
student_44980,Residential District 01
student_63496,Residential District 01
student_41643,Residential District 01
student_57816,Residential District 01
student_15686,Residential District 01
student_13290,Residential District 01
student_28645,Residential District 01
student_16747,Residential District 01
student_58285,Residential District 01
student_18959,Residential District 01
student_18478,Residential District 01
student_64471,Residential District 01
student_16940,Residential District 01
student_46142,Residential District 01
student_45931,Residential District 01
student_41778,Residential District 01
student_42982,Residential District 01
student_56365,Residential District 01
student_57098,Residential District 01
student_43819,Residential District 01
student_23864,Residential District 01
student_361,Residential District 01
student_61592,Residential District 01
student_59105,Residential District 01
student_60263,Residential District 01
student_41968,Residential District 01
student_13711,Residential District 01
student_68341,Residential District 01
student_17979,Residential District 01
student_65842,Residential District 01
student_60505,Residential District 01
student_27272,Residential District 01
student_44930,Residential District 01
student_66707,Residential District 01
student_38112,Residential District 01
student_53018,Residential District 01
student_61723,Residential District 01
student_46593,Residential District 01
student_60252,Residential District 01
student_13276,Residential District 01
student_48908,Residential District 01
student_40115,Residential District 01
student_21387,Residential District 01
student_1611,Residential District 01
student_12220,Residential District 01
student_61667,Residential District 01
student_54725,Residential District 01
student_40807,Residential District 01
student_40729,Residential District 01
student_16176,Residential District 01
student_55659,Residential District 01
student_51501,Residential District 01
student_43557,Residential District 01
student_12005,Residential District 01
student_26666,Residential District 01
student_27003,Residential District 01
student_27993,Residential District 01
student_24583,Residential District 01
student_37710,Residential District 01
student_5239,Residential District 01
student_65520,Residential District 01
student_17640,Residential District 01
student_24995,Residential District 01
student_3460,Residential District 01
student_71032,Residential District 01
student_25238,Residential District 01
student_39765,Residential District 01
student_66127,Residential District 01
student_812,Residential District 01
student_55562,Residential District 01
student_63540,Residential District 01
student_17606,Residential District 01
student_2150,Residential District 01
student_14320,Residential District 01
student_37362,Residential District 01
student_63968,Residential District 01
student_49587,Residential District 01
student_37622,Residential District 01
student_70433,Residential District 01
student_13953,Residential District 01
student_62704,Residential District 01
student_22619,Residential District 01
student_12584,Residential District 01
student_50587,Residential District 01
student_71254,Residential District 01
student_10905,Residential District 01
student_10714,Residential District 01
student_68061,Residential District 01
student_25731,Residential District 01
student_58269,Residential District 01
student_62665,Residential District 01
student_70898,Residential District 01
student_55971,Residential District 01
student_22183,Residential District 01
student_47092,Residential District 01
student_27998,Residential District 01
student_2171,Residential District 01
student_43094,Residential District 01
student_3908,Residential District 01
student_66897,Residential District 01
student_44335,Residential District 01
student_60114,Residential District 01
student_14351,Residential District 01
student_22012,Residential District 01
student_3302,Residential District 01
student_69862,Residential District 01
student_33381,Residential District 01
student_57782,Residential District 01
student_58384,Residential District 01
student_3562,Residential District 01
student_9721,Residential District 01
student_27458,Residential District 01
student_55755,Residential District 01
student_35137,Residential District 01
student_10446,Residential District 01
student_66076,Residential District 01
student_67931,Residential District 01
student_6161,Residential District 01
student_42285,Residential District 01
student_64102,Residential District 01
student_14698,Residential District 01
student_31727,Residential District 01
student_57138,Residential District 01
student_49811,Residential District 01
student_67122,Residential District 01
student_55432,Residential District 01
student_46508,Residential District 01
student_20459,Residential District 01
student_11683,Residential District 01
student_200,Residential District 01
student_27209,Residential District 01
student_11056,Residential District 01
student_4953,Residential District 01
student_5284,Residential District 01
student_25046,Residential District 01
student_5992,Residential District 01
student_1746,Residential District 01
student_15400,Residential District 01
student_15165,Residential District 01
student_21278,Residential District 01
student_41666,Residential District 01
student_69028,Residential District 01
student_60331,Residential District 01
student_9182,Residential District 01
student_48342,Residential District 01
student_6040,Residential District 01
student_15482,Residential District 01
student_25727,Residential District 01
student_24863,Residential District 01
student_55842,Residential District 01
student_34257,Residential District 01
student_32364,Residential District 01
student_60536,Residential District 01
student_54299,Residential District 01
student_517,Residential District 01
student_39702,Residential District 01
student_9425,Residential District 01
student_41220,Residential District 01
student_48670,Residential District 01
