,School District,School DBN,School Name,Category,Grade 9 Seats Available,Grade 9 Applicants,Grade 9 Offers,Grade 9 Seats Available - Notes
34776,2,02M047,47 The American Sign Language and English Secondar,Residential District 01,,17,s^,
34777,2,02M047,47 The American Sign Language and English Secondar,Residential District 02,,26,33,
34778,2,02M047,47 The American Sign Language and English Secondar,Residential District 03,,s,s,
34779,2,02M047,47 The American Sign Language and English Secondar,Residential District 04,,8,s,
34780,2,02M047,47 The American Sign Language and English Secondar,Residential District 05,,15,s,
34781,2,02M047,47 The American Sign Language and English Secondar,Residential District 06,,9,s,
34782,2,02M047,47 The American Sign Language and English Secondar,Residential District 07,,16,s,
34783,2,02M047,47 The American Sign Language and English Secondar,Residential District 08,,20,9,
34784,2,02M047,47 The American Sign Language and English Secondar,Residential District 09,,34,s,
34785,2,02M047,47 The American Sign Language and English Secondar,Residential District 10,,15,s,
34786,2,02M047,47 The American Sign Language and English Secondar,Residential District 11,,21,s,
34787,2,02M047,47 The American Sign Language and English Secondar,Residential District 12,,10,s,
34788,2,02M047,47 The American Sign Language and English Secondar,Residential District 13,,s,s,
34789,2,02M047,47 The American Sign Language and English Secondar,Residential District 14,,14,s^,
34790,2,02M047,47 The American Sign Language and English Secondar,Residential District 15,,s,s,
34791,2,02M047,47 The American Sign Language and English Secondar,Residential District 16,,6,s,
34792,2,02M047,47 The American Sign Language and English Secondar,Residential District 17,,s,s,
34793,2,02M047,47 The American Sign Language and English Secondar,Residential District 18,,6,s,
34794,2,02M047,47 The American Sign Language and English Secondar,Residential District 19,,7,s,
34795,2,02M047,47 The American Sign Language and English Secondar,Residential District 20,,s,s,
34796,2,02M047,47 The American Sign Language and English Secondar,Residential District 21,,s,s,
34797,2,02M047,47 The American Sign Language and English Secondar,Residential District 22,,s,s,
34798,2,02M047,47 The American Sign Language and English Secondar,Residential District 23,,s,s,
34799,2,02M047,47 The American Sign Language and English Secondar,Residential District 24,,18,6,
34800,2,02M047,47 The American Sign Language and English Secondar,Residential District 25,,s,s,
34801,2,02M047,47 The American Sign Language and English Secondar,Residential District 27,,s,s,
34802,2,02M047,47 The American Sign Language and English Secondar,Residential District 28,,s,s,
34803,2,02M047,47 The American Sign Language and English Secondar,Residential District 29,,s,s,
34804,2,02M047,47 The American Sign Language and English Secondar,Residential District 30,,13,s,
34805,2,02M047,47 The American Sign Language and English Secondar,Residential District 31,,s,s,
34806,2,02M047,47 The American Sign Language and English Secondar,Residential District 32,,19,7,
34807,2,02M047,47 The American Sign Language and English Secondar,Residential District Unknown,,s,s,
74624,14,14K610,A-Tech High School,Residential District 01,,7,s,
74625,14,14K610,A-Tech High School,Residential District 02,,6,s,
74626,14,14K610,A-Tech High School,Residential District 03,,s,s,
74627,14,14K610,A-Tech High School,Residential District 04,,7,s,
74628,14,14K610,A-Tech High School,Residential District 05,,7,s,
74629,14,14K610,A-Tech High School,Residential District 06,,s,s,
74630,14,14K610,A-Tech High School,Residential District 07,,s,s,
74631,14,14K610,A-Tech High School,Residential District 08,,s,s,
74632,14,14K610,A-Tech High School,Residential District 09,,14,s,
74633,14,14K610,A-Tech High School,Residential District 10,,8,s,
