Residential District,Total Applicants,# Matches to Choice 1-3,# Matches to Choice 1-5,# Matches to Choice 1-10,# Matches to Choice 1-12,# Matches to Any Choice (Incl. SHS & LGA),% Matches to Choice 1-3,% Matches to Choice 1-5,% Matches to Choice 1-10,% Matches to Choice 1-12,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 01,555,140,186,249,250,# Matches to Any Choice (Incl. SHS & LGA),25%,34%,45%,45%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 02,2412,522,741,1052,1071,# Matches to Any Choice (Incl. SHS & LGA),22%,31%,44%,44%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 03,1204,230,345,550,554,# Matches to Any Choice (Incl. SHS & LGA),19%,29%,46%,46%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 04,830,299,440,580,580,# Matches to Any Choice (Incl. SHS & LGA),36%,53%,70%,70%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 05,1037,590,766,903,903,# Matches to Any Choice (Incl. SHS & LGA),57%,74%,87%,87%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 06,1612,922,1214,1422,1423,# Matches to Any Choice (Incl. SHS & LGA),57%,75%,88%,88%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 07,1357,776,1024,1210,1214,# Matches to Any Choice (Incl. SHS & LGA),57%,75%,89%,89%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 08,2438,1781,2156,2323,2324,# Matches to Any Choice (Incl. SHS & LGA),73%,88%,95%,95%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 09,2705,2337,2583,2670,2670,# Matches to Any Choice (Incl. SHS & LGA),86%,95%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 10,3740,3474,3690,3729,3729,# Matches to Any Choice (Incl. SHS & LGA),93%,99%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 11,3249,3127,3201,3230,3231,# Matches to Any Choice (Incl. SHS & LGA),96%,99%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 12,1801,1766,1782,1790,1790,# Matches to Any Choice (Incl. SHS & LGA),98%,99%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 13,997,519,701,841,842,# Matches to Any Choice (Incl. SHS & LGA),52%,70%,84%,84%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 14,946,618,783,861,861,# Matches to Any Choice (Incl. SHS & LGA),65%,83%,91%,91%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 15,2350,1149,1632,1997,1998,# Matches to Any Choice (Incl. SHS & LGA),49%,69%,85%,85%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 16,757,624,717,746,746,# Matches to Any Choice (Incl. SHS & LGA),82%,95%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 17,1683,1449,1611,1665,1665,# Matches to Any Choice (Incl. SHS & LGA),86%,96%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 18,1328,1214,1304,1325,1325,# Matches to Any Choice (Incl. SHS & LGA),91%,98%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 19,2281,2196,2265,2278,2278,# Matches to Any Choice (Incl. SHS & LGA),96%,99%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 20,3799,3198,3473,3502,3502,# Matches to Any Choice (Incl. SHS & LGA),84%,91%,92%,92%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 21,2557,2514,2533,2535,2535,# Matches to Any Choice (Incl. SHS & LGA),98%,99%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 22,3101,3058,3072,3079,3079,# Matches to Any Choice (Incl. SHS & LGA),99%,99%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 23,1013,997,1004,1009,1009,# Matches to Any Choice (Incl. SHS & LGA),98%,99%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 24,4939,3603,4329,4711,4713,# Matches to Any Choice (Incl. SHS & LGA),73%,88%,95%,95%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 25,2528,1876,2165,2220,2220,# Matches to Any Choice (Incl. SHS & LGA),74%,86%,88%,88%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 27,3874,3783,3835,3844,3844,# Matches to Any Choice (Incl. SHS & LGA),98%,99%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 28,2630,2526,2561,2578,2578,# Matches to Any Choice (Incl. SHS & LGA),96%,97%,98%,98%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 29,2627,2573,2604,2610,2610,# Matches to Any Choice (Incl. SHS & LGA),98%,99%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 30,2964,2667,2770,2871,2871,# Matches to Any Choice (Incl. SHS & LGA),90%,93%,97%,97%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 31,4838,4569,4600,4600,4600,# Matches to Any Choice (Incl. SHS & LGA),94%,95%,95%,95%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 32,894,856,875,881,881,# Matches to Any Choice (Incl. SHS & LGA),96%,98%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District Unknown,357,310,315,326,326,# Matches to Any Choice (Incl. SHS & LGA),87%,88%,91%,91%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 26,1847,1765,1797,1799,1799,# Matches to Any Choice (Incl. SHS & LGA),96%,97%,97%,97%,% Matches to Any Choice (Incl. SHS & LGA)
Total,71250,58028,63074,65986,66021,# Matches to Any Choice (Incl. SHS & LGA),81%,89%,93%,93%,% Matches to Any Choice (Incl. SHS & LGA)
