,School District,School DBN,School Name,Category,Grade 9 Seats Available,Grade 9 Applicants,Grade 9 Offers,Grade 9 True Applicants,Grade 9 Seats Available - Notes
70657,17,17K646,Aspirations Diploma Plus High School,All Students,40,15,s,s,
54537,12,12X641,Bard Bronx,All Students,100,s,s,s,
38639,8,08X537,Bronx Arena High School,All Students,10,52,s,s,
57260,13,13K553,Brooklyn Academy High School,All Students,22,375,s,48,
87331,23,23K643,Brooklyn Democracy Academy,All Students,30,s,s,s,
63760,15,15K423,Brooklyn Frontiers High School,All Students,65,34,s,10,
18054,2,02M560,High School M560 - City As School,All Students,25,39,s,s,
32958,6,06M423,High School for Excellence and Innovation,All Students,60,50,s,11,
17271,2,02M544,Independence High School,All Students,30,23,s,s,
44565,10,10X228,Jonas Bronck Academy,All Students,90,s,s,s,
82577,21,21K728,Liberation Diploma Plus,All Students,30,s,s,s,
17779,2,02M550,Liberty High School Academy for Newcomers,All Students,50,67,s,10,
87449,23,23K647,Metropolitan Diploma Plus High School,All Students,30,17,s,s,
95644,25,25Q792,North Queens Community High School,All Students,15,9,s,s,
72894,18,18K635,Olympus Academy,All Students,15,28,s,s,
85529,22,22K630,Professional Pathways High School,All Students,30,8,s,s,
95501,25,25Q540,Queens Academy High School,All Students,20,6,s,s,
