,School District,School DBN,School Name,Category,Grade 9 Seats Available,Grade 9 Applicants,Grade 9 Offers,Grade 9 True Applicants,Grade 9 Seats Available - Notes,max_offers_and_seats
3563,2,02M047,47 The American Sign Language and English Secondary School,All Students,69,385,73,73,,73
65924,15,15K960,A School Without Walls (hybrid program),All Students,100,220,41,41,,100
38860,8,08X636,A School Without Walls (virtual program),All Students,100,286,84,84,,100
61677,14,14K610,A-Tech High School,All Students,238,1160,269,251,,269
33549,6,06M540,A. Philip Randolph Campus High School,All Students,471,1989,430,430,,471
81584,21,21K410,Abraham Lincoln High School,All Students,774,2069,673,583,,774
113157,30,30Q301,Academy for Careers in Television and Film,All Students,136,1518,178,460,,178
68968,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,All Students,108,857,120,135,,120
72914,18,18K637,Academy for Conservation and the Environment,All Students,120,814,225,104,,225
120134,32,32K403,Academy for Excellence in Leadership,All Students,108,614,82,82,,108
70876,17,17K751,Academy for Health Careers,All Students,108,620,74,62,,108
41431,9,09X365,Academy for Language and Technology,All Students,92,692,85,214,,92
50160,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,All Students,86,712,130,122,,130
17521,2,02M546,Academy for Software Engineering,All Students,125,2507,184,585,,184
74181,19,19K404,Academy for Young Writers,All Students,92,579,92,98,,92
114416,30,30Q575,Academy of American Studies,All Students,170,2671,222,952,,222
89157,24,24Q264,Academy of Finance and Enterprise,All Students,124,2132,148,585,,148
69215,17,17K408,Academy of Hospitality and Tourism,All Students,118,495,169,82,,169
75143,19,19K618,Academy of Innovative Technology,All Students,108,1107,147,188,,147
101313,27,27Q309,Academy of Medical Technology: A College Board School,All Students,105,527,132,141,,132
36035,7,07X600,Alfred E. Smith Career and Technical Education High School,All Students,152,1339,236,337,,236
120571,32,32K554,All City Leadership Secondary School,All Students,62,963,63,291,,63
38100,8,08X376,Antonia Pantoja Preparatory Academy: A College Board School,All Students,84,366,87,87,,87
37887,8,08X367,Archimedes Academy for Math Science and Technology Applications,All Students,96,474,110,102,,110
18984,2,02M630,Art and Design High School,All Students,385,3634,493,1547,,493
54028,12,12X446,Arturo A. Schomburg Satellite Academy Bronx,All Students,50,146,15,15,,50
70657,17,17K646,Aspirations Diploma Plus High School,All Students,40,15,5,3,,40
50670,11,11X299,Astor Collegiate Academy,All Students,120,1495,168,219,,168
102064,27,27Q400,August Martin High School,All Students,250,939,256,210,,256
91576,24,24Q610,Aviation Career & Technical Education High School,All Students,530,3540,709,1576,,709
114638,30,30Q580,Baccalaureate School for Global Education,All Students,102,2541,102,1422,,102
54537,12,12X641,Bard Bronx,All Students,100,4,5,3,,100
2190,1,01M696,Bard High School Early College,All Students,125,4801,197,2602,,197
89710,24,24Q299,Bard High School Early College Queens,All Students,125,4916,175,2900,,175
11349,2,02M411,Baruch College Campus High School,All Students,120,6239,165,2716,,165
98647,26,26Q495,Bayside High School,All Students,893,6156,1014,2799,,1014
24134,3,03M479,Beacon High School,All Students,360,7994,472,4503,,472
57458,13,13K595,Bedford Academy High School,All Students,81,2753,115,708,,115
46188,10,10X434,Belmont Preparatory High School,All Students,108,1038,176,191,,176
57904,13,13K670,Benjamin Banneker Academy,All Students,225,1802,327,442,,327
109515,29,29Q313,Benjamin Franklin High School for Finance & Information Technology,All Students,108,692,128,128,,128
