,School District,School DBN,School Name,Category,Grade 9 Seats Available,Grade 9 Applicants,Grade 9 Offers,Grade 9 True Applicants,Grade 9 Seats Available - Notes
3585,2,02M047,47 The American Sign Language and English Secondary School,Residential District 01,.,15,s,s,
3586,2,02M047,47 The American Sign Language and English Secondary School,Residential District 02,.,33,s^,7,
3587,2,02M047,47 The American Sign Language and English Secondary School,Residential District 03,.,6,s,s,
3588,2,02M047,47 The American Sign Language and English Secondary School,Residential District 04,.,24,s,s,
3589,2,02M047,47 The American Sign Language and English Secondary School,Residential District 05,.,13,s,s,
3590,2,02M047,47 The American Sign Language and English Secondary School,Residential District 06,.,15,s,s,
3591,2,02M047,47 The American Sign Language and English Secondary School,Residential District 07,.,11,s,s,
3592,2,02M047,47 The American Sign Language and English Secondary School,Residential District 08,.,28,s,s,
3593,2,02M047,47 The American Sign Language and English Secondary School,Residential District 09,.,42,s^,9,
3594,2,02M047,47 The American Sign Language and English Secondary School,Residential District 10,.,24,s,s,
3595,2,02M047,47 The American Sign Language and English Secondary School,Residential District 11,.,19,s,s,
3596,2,02M047,47 The American Sign Language and English Secondary School,Residential District 12,.,14,s,s,
3597,2,02M047,47 The American Sign Language and English Secondary School,Residential District 13,.,6,s,s,
3598,2,02M047,47 The American Sign Language and English Secondary School,Residential District 14,.,11,s,s,
3599,2,02M047,47 The American Sign Language and English Secondary School,Residential District 15,.,s,s,s,
3600,2,02M047,47 The American Sign Language and English Secondary School,Residential District 16,.,s,s,s,
3601,2,02M047,47 The American Sign Language and English Secondary School,Residential District 17,.,s,s,s,
3602,2,02M047,47 The American Sign Language and English Secondary School,Residential District 18,.,s,s,s,
3603,2,02M047,47 The American Sign Language and English Secondary School,Residential District 19,.,15,s,s,
3604,2,02M047,47 The American Sign Language and English Secondary School,Residential District 20,.,s,s,s,
3605,2,02M047,47 The American Sign Language and English Secondary School,Residential District 21,.,s,s,s,
3606,2,02M047,47 The American Sign Language and English Secondary School,Residential District 22,.,9,s,s,
3607,2,02M047,47 The American Sign Language and English Secondary School,Residential District 23,.,8,s,s,
3608,2,02M047,47 The American Sign Language and English Secondary School,Residential District 24,.,15,s,s,
3609,2,02M047,47 The American Sign Language and English Secondary School,Residential District 25,.,s,s,s,
3610,2,02M047,47 The American Sign Language and English Secondary School,Residential District 27,.,16,s,s,
3611,2,02M047,47 The American Sign Language and English Secondary School,Residential District 28,.,s,s,s,
3612,2,02M047,47 The American Sign Language and English Secondary School,Residential District 29,.,s,s,s,
3613,2,02M047,47 The American Sign Language and English Secondary School,Residential District 30,.,14,s,s,
3614,2,02M047,47 The American Sign Language and English Secondary School,Residential District 31,.,s,s,s,
3615,2,02M047,47 The American Sign Language and English Secondary School,Residential District 32,.,9,s,s,
3616,2,02M047,47 The American Sign Language and English Secondary School,Residential District Unknown,.,s,s,s,
65939,15,15K960,A School Without Walls (hybrid program),Residential District 01,.,s,s,s,
65940,15,15K960,A School Without Walls (hybrid program),Residential District 02,.,8,s,s,
65941,15,15K960,A School Without Walls (hybrid program),Residential District 03,.,s,s,s,
65942,15,15K960,A School Without Walls (hybrid program),Residential District 04,.,s,s,s,
65943,15,15K960,A School Without Walls (hybrid program),Residential District 06,.,s,s,s,
65944,15,15K960,A School Without Walls (hybrid program),Residential District 07,.,s,s,s,
65945,15,15K960,A School Without Walls (hybrid program),Residential District 08,.,s,s,s,
65946,15,15K960,A School Without Walls (hybrid program),Residential District 09,.,s,s,s,
65947,15,15K960,A School Without Walls (hybrid program),Residential District 10,.,s,s,s,
65948,15,15K960,A School Without Walls (hybrid program),Residential District 11,.,s,s,s,
65949,15,15K960,A School Without Walls (hybrid program),Residential District 13,.,29,s^,10,
65950,15,15K960,A School Without Walls (hybrid program),Residential District 14,.,s,s,s,
65951,15,15K960,A School Without Walls (hybrid program),Residential District 15,.,32,s,s,
65952,15,15K960,A School Without Walls (hybrid program),Residential District 16,.,6,s,s,
65953,15,15K960,A School Without Walls (hybrid program),Residential District 17,.,10,s,s,
