DBN,School Name,Year,Total Enrollment,Grade 3K,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multi-Racial,% Multi-Racial,# Native American,% Native American,# White,% White,# Missing Race/Ethnicity Data,% Missing Race/Ethnicity Data,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
01M015,P.S. 015 Roberto Clemente,2017-18,190,0,17,28,32,33,23,31,26,0,0,0,0,0,0,0,99,52.1%,91,47.9%,20,10.5%,52,27.4%,110,57.9%,1,0.5%,1,0.5%,6,3.2%,0,0.0%,49,25.8%,8,4.2%,161,84.7%,89.0%
01M015,P.S. 015 Roberto Clemente,2018-19,174,0,13,20,33,30,30,20,28,0,0,0,0,0,0,0,85,48.9%,89,51.1%,24,13.8%,48,27.6%,95,54.6%,0,0.0%,1,0.6%,6,3.4%,0,0.0%,39,22.4%,8,4.6%,147,84.5%,88.8%
01M015,P.S. 015 Roberto Clemente,2019-20,190,0,14,29,28,38,33,29,19,0,0,0,0,0,0,0,94,49.5%,96,50.5%,27,14.2%,56,29.5%,96,50.5%,0,0.0%,2,1.1%,9,4.7%,0,0.0%,46,24.2%,17,8.9%,155,81.6%,86.7%
01M015,P.S. 015 Roberto Clemente,2020-21,193,0,17,29,29,27,30,32,29,0,0,0,0,0,0,0,101,52.3%,92,47.7%,26,13.5%,53,27.5%,102,52.8%,1,0.5%,0,0.0%,11,5.7%,0,0.0%,44,22.8%,21,10.9%,161,83.4%,86.4%
01M015,P.S. 015 Roberto Clemente,2021-22,179,0,15,30,26,24,22,33,29,0,0,0,0,0,0,0,96,53.6%,83,46.4%,21,11.7%,50,27.9%,93,52.0%,3,1.7%,0,0.0%,12,6.7%,0,0.0%,38,21.2%,11,6.1%,150,83.8%,87.9%
01M019,P.S. 019 Asher Levy,2017-18,257,0,13,34,38,42,46,42,42,0,0,0,0,0,0,0,114,44.4%,143,55.6%,23,8.9%,49,19.1%,166,64.6%,3,1.2%,0,0.0%,16,6.2%,0,0.0%,90,35.0%,8,3.1%,198,77.0%,67.9%
01M019,P.S. 019 Asher Levy,2018-19,249,0,10,30,39,43,41,44,42,0,0,0,0,0,0,0,114,45.8%,135,54.2%,14,5.6%,52,20.9%,156,62.7%,8,3.2%,1,0.4%,18,7.2%,0,0.0%,102,41.0%,8,3.2%,183,73.5%,68.7%
01M019,P.S. 019 Asher Levy,2019-20,236,0,16,25,27,39,45,42,42,0,0,0,0,0,0,0,110,46.6%,126,53.4%,11,4.7%,49,20.8%,148,62.7%,8,3.4%,1,0.4%,19,8.1%,0,0.0%,94,39.8%,8,3.4%,176,74.6%,70.4%
01M019,P.S. 019 Asher Levy,2020-21,212,0,13,23,25,27,38,44,42,0,0,0,0,0,0,0,99,46.7%,113,53.3%,13,6.1%,41,19.3%,130,61.3%,7,3.3%,1,0.5%,17,8.0%,3,1.4%,87,41.0%,9,4.2%,152,71.7%,69.6%
01M019,P.S. 019 Asher Levy,2021-22,176,9,7,22,20,22,23,34,39,0,0,0,0,0,0,0,83,47.2%,93,52.8%,10,5.7%,32,18.2%,101,57.4%,8,4.5%,1,0.6%,21,11.9%,3,1.7%,72,40.9%,6,3.4%,124,70.5%,67.8%
01M020,P.S. 020 Anna Silver,2017-18,497,0,34,71,82,69,89,83,69,0,0,0,0,0,0,0,244,49.1%,253,50.9%,147,29.6%,51,10.3%,264,53.1%,14,2.8%,4,0.8%,16,3.2%,1,0.2%,118,23.7%,86,17.3%,366,73.6%,80.0%
01M020,P.S. 020 Anna Silver,2018-19,481,0,42,61,69,76,67,90,76,0,0,0,0,0,0,0,239,49.7%,242,50.3%,138,28.7%,66,13.7%,239,49.7%,12,2.5%,3,0.6%,22,4.6%,1,0.2%,117,24.3%,63,13.1%,326,67.8%,75.4%
01M020,P.S. 020 Anna Silver,2019-20,464,0,41,63,61,71,76,65,87,0,0,0,0,0,0,0,233,50.2%,231,49.8%,120,25.9%,58,12.5%,239,51.5%,10,2.2%,5,1.1%,31,6.7%,1,0.2%,106,22.8%,61,13.1%,354,76.3%,78.4%
01M020,P.S. 020 Anna Silver,2020-21,412,0,37,58,52,60,66,74,65,0,0,0,0,0,0,0,201,48.8%,211,51.2%,102,24.8%,55,13.3%,215,52.2%,6,1.5%,3,0.7%,30,7.3%,1,0.2%,92,22.3%,49,11.9%,297,72.1%,77.0%
01M020,P.S. 020 Anna Silver,2021-22,351,0,42,52,50,42,48,51,66,0,0,0,0,0,0,0,169,48.1%,182,51.9%,69,19.7%,53,15.1%,192,54.7%,6,1.7%,3,0.9%,27,7.7%,1,0.3%,74,21.1%,35,10.0%,246,70.1%,75.3%
01M034,P.S. 034 Franklin D. Roosevelt,2017-18,333,0,13,25,18,22,47,35,36,38,41,58,0,0,0,0,150,45.0%,183,55.0%,11,3.3%,106,31.8%,204,61.3%,0,0.0%,2,0.6%,9,2.7%,1,0.3%,124,37.2%,25,7.5%,Above 95%,Above 95%,93.7%
01M034,P.S. 034 Franklin D. Roosevelt,2018-19,305,0,17,26,20,16,21,43,40,39,44,39,0,0,0,0,145,47.5%,160,52.5%,8,2.6%,102,33.4%,182,59.7%,0,0.0%,3,1.0%,9,3.0%,1,0.3%,117,38.4%,22,7.2%,Above 95%,Above 95%,94.8%
01M034,P.S. 034 Franklin D. Roosevelt,2019-20,296,0,17,24,26,16,18,21,43,43,40,48,0,0,0,0,141,47.6%,155,52.4%,7,2.4%,107,36.1%,172,58.1%,0,0.0%,2,0.7%,8,2.7%,0,0.0%,117,39.5%,17,5.7%,Above 95%,Above 95%,Above 95%
01M034,P.S. 034 Franklin D. Roosevelt,2020-21,273,0,12,19,24,27,16,17,23,48,43,44,0,0,0,0,126,46.2%,147,53.8%,7,2.6%,104,38.1%,152,55.7%,1,0.4%,1,0.4%,8,2.9%,0,0.0%,108,39.6%,17,6.2%,Above 95%,Above 95%,Above 95%
01M034,P.S. 034 Franklin D. Roosevelt,2021-22,258,10,9,15,21,25,27,17,21,28,47,38,0,0,0,0,116,45.0%,142,55.0%,8,3.1%,107,41.5%,136,52.7%,0,0.0%,1,0.4%,6,2.3%,0,0.0%,88,34.1%,16,6.2%,Above 95%,Above 95%,94.4%
01M063,The STAR Academy - P.S.63,2017-18,203,0,26,40,29,36,22,23,27,0,0,0,0,0,0,0,100,49.3%,103,50.7%,6,3.0%,37,18.2%,128,63.1%,8,3.9%,0,0.0%,24,11.8%,0,0.0%,67,33.0%,2,1.0%,166,81.8%,76.2%
01M063,The STAR Academy - P.S.63,2018-19,230,0,23,49,41,28,40,25,24,0,0,0,0,0,0,0,104,45.2%,126,54.8%,4,1.7%,45,19.6%,150,65.2%,9,3.9%,0,0.0%,22,9.6%,0,0.0%,77,33.5%,4,1.7%,177,77.0%,73.7%
01M063,The STAR Academy - P.S.63,2019-20,229,0,26,40,34,38,30,32,29,0,0,0,0,0,0,0,104,45.4%,125,54.6%,9,3.9%,39,17.0%,157,68.6%,6,2.6%,1,0.4%,17,7.4%,0,0.0%,71,31.0%,5,2.2%,177,77.3%,78.4%
01M063,The STAR Academy - P.S.63,2020-21,208,0,17,37,31,33,34,26,30,0,0,0,0,0,0,0,99,47.6%,109,52.4%,6,2.9%,40,19.2%,132,63.5%,7,3.4%,1,0.5%,19,9.1%,3,1.4%,59,28.4%,3,1.4%,162,77.9%,76.5%
01M063,The STAR Academy - P.S.63,2021-22,186,15,10,23,34,27,30,26,21,0,0,0,0,0,0,0,90,48.4%,96,51.6%,3,1.6%,38,20.4%,120,64.5%,7,3.8%,1,0.5%,14,7.5%,3,1.6%,60,32.3%,3,1.6%,139,74.7%,70.4%
01M064,P.S. 064 Robert Simon,2017-18,245,0,35,27,44,37,30,36,36,0,0,0,0,0,0,0,101,41.2%,144,58.8%,11,4.5%,51,20.8%,167,68.2%,3,1.2%,0,0.0%,13,5.3%,0,0.0%,73,29.8%,5,2.0%,226,92.2%,88.2%
